ItemId,StartYear,EndYear,Dimension,Value,WeightMultiplier
agriculture_and_farm_estates,1700,,AgeBand,YoungAdult,1.10
agriculture_and_farm_estates,1700,,AgeBand,Adult,1.10
agriculture_and_farm_estates,1700,,AgeBand,OlderAdult,0.85
agriculture_and_farm_estates,1700,,Temperament,Phlegmatic,1.20
agriculture_and_farm_estates,1700,,Temperament,Choleric,1.10
horse_and_carriage_trade,1700,1955,AgeBand,YoungAdult,1.25
horse_and_carriage_trade,1700,1955,AgeBand,Adult,1.00
horse_and_carriage_trade,1700,1955,AgeBand,OlderAdult,0.55
horse_and_carriage_trade,1700,1955,Temperament,Phlegmatic,1.20
horse_and_carriage_trade,1700,1955,Temperament,Choleric,1.10
blacksmithing,1700,1970,AgeBand,YoungAdult,1.10
blacksmithing,1700,1970,AgeBand,Adult,1.10
blacksmithing,1700,1970,AgeBand,OlderAdult,0.85
blacksmithing,1700,1970,Temperament,Phlegmatic,1.20
blacksmithing,1700,1970,Temperament,Melancholic,1.10
coal_mining,1750,,AgeBand,YoungAdult,1.25
coal_mining,1750,,AgeBand,Adult,1.00
coal_mining,1750,,AgeBand,OlderAdult,0.55
coal_mining,1750,,Temperament,Choleric,1.20
coal_mining,1750,,Temperament,Phlegmatic,1.10
oil_and_refining,1855,,AgeBand,YoungAdult,1.25
oil_and_refining,1855,,AgeBand,Adult,1.00
oil_and_refining,1855,,AgeBand,OlderAdult,0.55
oil_and_refining,1855,,Temperament,Choleric,1.20
oil_and_refining,1855,,Temperament,Phlegmatic,1.10
steel_and_foundry,1800,,AgeBand,YoungAdult,1.25
steel_and_foundry,1800,,AgeBand,Adult,1.00
steel_and_foundry,1800,,AgeBand,OlderAdult,0.55
steel_and_foundry,1800,,Temperament,Choleric,1.20
steel_and_foundry,1800,,Temperament,Phlegmatic,1.10
textile_mills,1790,2005,AgeBand,YoungAdult,1.10
textile_mills,1790,2005,AgeBand,Adult,1.10
textile_mills,1790,2005,AgeBand,OlderAdult,0.85
textile_mills,1790,2005,Temperament,Phlegmatic,1.20
textile_mills,1790,2005,Temperament,Melancholic,1.10
timber_and_sawmills,1700,,AgeBand,YoungAdult,1.25
timber_and_sawmills,1700,,AgeBand,Adult,1.00
timber_and_sawmills,1700,,AgeBand,OlderAdult,0.55
timber_and_sawmills,1700,,Temperament,Phlegmatic,1.20
timber_and_sawmills,1700,,Temperament,Choleric,1.10
construction,1700,,AgeBand,YoungAdult,1.25
construction,1700,,AgeBand,Adult,1.00
construction,1700,,AgeBand,OlderAdult,0.55
construction,1700,,Temperament,Choleric,1.20
construction,1700,,Temperament,Phlegmatic,1.10
railways,1840,,AgeBand,YoungAdult,1.25
railways,1840,,AgeBand,Adult,1.00
railways,1840,,AgeBand,OlderAdult,0.55
railways,1840,,Temperament,Phlegmatic,1.20
railways,1840,,Temperament,Choleric,1.10
shipping_and_ports,1700,,AgeBand,YoungAdult,1.25
shipping_and_ports,1700,,AgeBand,Adult,1.00
shipping_and_ports,1700,,AgeBand,OlderAdult,0.55
shipping_and_ports,1700,,Temperament,Choleric,1.20
shipping_and_ports,1700,,Temperament,Phlegmatic,1.10
mass_factory_manufacturing,1820,2000,AgeBand,YoungAdult,1.25
mass_factory_manufacturing,1820,2000,AgeBand,Adult,1.00
mass_factory_manufacturing,1820,2000,AgeBand,OlderAdult,0.55
mass_factory_manufacturing,1820,2000,Temperament,Phlegmatic,1.20
mass_factory_manufacturing,1820,2000,Temperament,Choleric,1.10
traditional_printworks,1700,2015,AgeBand,YoungAdult,1.15
traditional_printworks,1700,2015,AgeBand,Adult,1.05
traditional_printworks,1700,2015,AgeBand,OlderAdult,0.80
traditional_printworks,1700,2015,Temperament,Melancholic,1.20
traditional_printworks,1700,2015,Temperament,Sanguine,1.10
newspapers_and_publishing,1800,,AgeBand,YoungAdult,1.15
newspapers_and_publishing,1800,,AgeBand,Adult,1.05
newspapers_and_publishing,1800,,AgeBand,OlderAdult,0.80
newspapers_and_publishing,1800,,Temperament,Melancholic,1.20
newspapers_and_publishing,1800,,Temperament,Sanguine,1.10
retail_trade,1700,,AgeBand,YoungAdult,1.05
retail_trade,1700,,AgeBand,Adult,1.05
retail_trade,1700,,AgeBand,OlderAdult,0.90
retail_trade,1700,,Temperament,Sanguine,1.20
retail_trade,1700,,Temperament,Choleric,1.10
banking,1800,,AgeBand,YoungAdult,0.90
banking,1800,,AgeBand,Adult,1.20
banking,1800,,AgeBand,OlderAdult,1.00
banking,1800,,Temperament,Melancholic,1.20
banking,1800,,Temperament,Choleric,1.10
insurance,1800,,AgeBand,YoungAdult,0.90
insurance,1800,,AgeBand,Adult,1.20
insurance,1800,,AgeBand,OlderAdult,1.00
insurance,1800,,Temperament,Melancholic,1.20
insurance,1800,,Temperament,Choleric,1.10
hotels_and_restaurants,1700,,AgeBand,YoungAdult,1.05
hotels_and_restaurants,1700,,AgeBand,Adult,1.05
hotels_and_restaurants,1700,,AgeBand,OlderAdult,0.90
hotels_and_restaurants,1700,,Temperament,Sanguine,1.20
hotels_and_restaurants,1700,,Temperament,Phlegmatic,1.10
food_processing,1850,,AgeBand,YoungAdult,1.10
food_processing,1850,,AgeBand,Adult,1.10
food_processing,1850,,AgeBand,OlderAdult,0.85
food_processing,1850,,Temperament,Phlegmatic,1.20
food_processing,1850,,Temperament,Sanguine,1.10
baking_and_confectionery,1700,,AgeBand,YoungAdult,1.10
baking_and_confectionery,1700,,AgeBand,Adult,1.10
baking_and_confectionery,1700,,AgeBand,OlderAdult,0.85
baking_and_confectionery,1700,,Temperament,Phlegmatic,1.20
baking_and_confectionery,1700,,Temperament,Sanguine,1.10
meat_trade,1700,,AgeBand,YoungAdult,1.10
meat_trade,1700,,AgeBand,Adult,1.10
meat_trade,1700,,AgeBand,OlderAdult,0.85
meat_trade,1700,,Temperament,Phlegmatic,1.20
meat_trade,1700,,Temperament,Sanguine,1.10
tailoring_and_fashion,1700,,AgeBand,YoungAdult,1.10
tailoring_and_fashion,1700,,AgeBand,Adult,1.10
tailoring_and_fashion,1700,,AgeBand,OlderAdult,0.85
tailoring_and_fashion,1700,,Temperament,Phlegmatic,1.20
tailoring_and_fashion,1700,,Temperament,Melancholic,1.10
leather_and_shoemaking,1700,2010,AgeBand,YoungAdult,1.10
leather_and_shoemaking,1700,2010,AgeBand,Adult,1.10
leather_and_shoemaking,1700,2010,AgeBand,OlderAdult,0.85
leather_and_shoemaking,1700,2010,Temperament,Phlegmatic,1.20
leather_and_shoemaking,1700,2010,Temperament,Melancholic,1.10
furniture_and_carpentry,1700,,AgeBand,YoungAdult,1.25
furniture_and_carpentry,1700,,AgeBand,Adult,1.00
furniture_and_carpentry,1700,,AgeBand,OlderAdult,0.55
furniture_and_carpentry,1700,,Temperament,Phlegmatic,1.20
furniture_and_carpentry,1700,,Temperament,Choleric,1.10
glass_and_ceramics,1700,,AgeBand,YoungAdult,1.10
glass_and_ceramics,1700,,AgeBand,Adult,1.10
glass_and_ceramics,1700,,AgeBand,OlderAdult,0.85
glass_and_ceramics,1700,,Temperament,Phlegmatic,1.20
glass_and_ceramics,1700,,Temperament,Melancholic,1.10
jewellery_and_watchmaking,1700,,AgeBand,YoungAdult,1.10
jewellery_and_watchmaking,1700,,AgeBand,Adult,1.10
jewellery_and_watchmaking,1700,,AgeBand,OlderAdult,0.85
jewellery_and_watchmaking,1700,,Temperament,Phlegmatic,1.20
jewellery_and_watchmaking,1700,,Temperament,Melancholic,1.10
photography,1840,,AgeBand,YoungAdult,1.15
photography,1840,,AgeBand,Adult,1.05
photography,1840,,AgeBand,OlderAdult,0.80
photography,1840,,Temperament,Sanguine,1.20
photography,1840,,Temperament,Melancholic,1.10
domestic_service,1700,1975,AgeBand,YoungAdult,1.05
domestic_service,1700,1975,AgeBand,Adult,1.05
domestic_service,1700,1975,AgeBand,OlderAdult,0.90
domestic_service,1700,1975,Temperament,Sanguine,1.20
domestic_service,1700,1975,Temperament,Phlegmatic,1.10
laundry_and_dry_cleaning,1800,,AgeBand,YoungAdult,1.05
laundry_and_dry_cleaning,1800,,AgeBand,Adult,1.05
laundry_and_dry_cleaning,1800,,AgeBand,OlderAdult,0.90
laundry_and_dry_cleaning,1800,,Temperament,Sanguine,1.20
laundry_and_dry_cleaning,1800,,Temperament,Phlegmatic,1.10
funeral_services,1700,,AgeBand,YoungAdult,1.05
funeral_services,1700,,AgeBand,Adult,1.05
funeral_services,1700,,AgeBand,OlderAdult,0.90
funeral_services,1700,,Temperament,Sanguine,1.20
funeral_services,1700,,Temperament,Phlegmatic,1.10
real_estate,1850,,AgeBand,YoungAdult,1.05
real_estate,1850,,AgeBand,Adult,1.05
real_estate,1850,,AgeBand,OlderAdult,0.90
real_estate,1850,,Temperament,Sanguine,1.20
real_estate,1850,,Temperament,Choleric,1.10
accounting,1700,,AgeBand,YoungAdult,1.05
accounting,1700,,AgeBand,Adult,1.05
accounting,1700,,AgeBand,OlderAdult,0.90
accounting,1700,,Temperament,Phlegmatic,1.20
accounting,1700,,Temperament,Sanguine,1.10
legal_services,1700,,AgeBand,YoungAdult,0.90
legal_services,1700,,AgeBand,Adult,1.20
legal_services,1700,,AgeBand,OlderAdult,1.00
legal_services,1700,,Temperament,Melancholic,1.20
legal_services,1700,,Temperament,Choleric,1.10
healthcare_services,1700,,AgeBand,YoungAdult,0.90
healthcare_services,1700,,AgeBand,Adult,1.20
healthcare_services,1700,,AgeBand,OlderAdult,1.00
healthcare_services,1700,,Temperament,Phlegmatic,1.20
healthcare_services,1700,,Temperament,Sanguine,1.10
pharmacy,1700,,AgeBand,YoungAdult,0.90
pharmacy,1700,,AgeBand,Adult,1.20
pharmacy,1700,,AgeBand,OlderAdult,1.00
pharmacy,1700,,Temperament,Melancholic,1.20
pharmacy,1700,,Temperament,Phlegmatic,1.10
education,1700,,AgeBand,YoungAdult,0.90
education,1700,,AgeBand,Adult,1.20
education,1700,,AgeBand,OlderAdult,1.00
education,1700,,Temperament,Sanguine,1.20
education,1700,,Temperament,Phlegmatic,1.10
electric_power,1890,,AgeBand,YoungAdult,1.10
electric_power,1890,,AgeBand,Adult,1.10
electric_power,1890,,AgeBand,OlderAdult,0.85
electric_power,1890,,Temperament,Phlegmatic,1.20
electric_power,1890,,Temperament,Choleric,1.10
cinema_and_film,1900,,AgeBand,YoungAdult,1.15
cinema_and_film,1900,,AgeBand,Adult,1.05
cinema_and_film,1900,,AgeBand,OlderAdult,0.80
cinema_and_film,1900,,Temperament,Sanguine,1.20
cinema_and_film,1900,,Temperament,Melancholic,1.10
advertising,1900,,AgeBand,YoungAdult,1.15
advertising,1900,,AgeBand,Adult,1.05
advertising,1900,,AgeBand,OlderAdult,0.80
advertising,1900,,Temperament,Sanguine,1.20
advertising,1900,,Temperament,Choleric,1.10
automotive_industry,1910,,AgeBand,YoungAdult,1.25
automotive_industry,1910,,AgeBand,Adult,1.00
automotive_industry,1910,,AgeBand,OlderAdult,0.55
automotive_industry,1910,,Temperament,Phlegmatic,1.20
automotive_industry,1910,,Temperament,Choleric,1.10
chemical_industry,1880,,AgeBand,YoungAdult,0.90
chemical_industry,1880,,AgeBand,Adult,1.20
chemical_industry,1880,,AgeBand,OlderAdult,1.00
chemical_industry,1880,,Temperament,Melancholic,1.20
chemical_industry,1880,,Temperament,Phlegmatic,1.10
beauty_and_cosmetics,1900,,AgeBand,YoungAdult,1.05
beauty_and_cosmetics,1900,,AgeBand,Adult,1.05
beauty_and_cosmetics,1900,,AgeBand,OlderAdult,0.90
beauty_and_cosmetics,1900,,Temperament,Sanguine,1.20
beauty_and_cosmetics,1900,,Temperament,Phlegmatic,1.10
radio_broadcasting,1925,,AgeBand,YoungAdult,1.15
radio_broadcasting,1925,,AgeBand,Adult,1.05
radio_broadcasting,1925,,AgeBand,OlderAdult,0.80
radio_broadcasting,1925,,Temperament,Sanguine,1.20
radio_broadcasting,1925,,Temperament,Melancholic,1.10
aviation,1930,,AgeBand,YoungAdult,1.25
aviation,1930,,AgeBand,Adult,1.00
aviation,1930,,AgeBand,OlderAdult,0.55
aviation,1930,,Temperament,Phlegmatic,1.20
aviation,1930,,Temperament,Choleric,1.10
road_haulage,1920,,AgeBand,YoungAdult,1.25
road_haulage,1920,,AgeBand,Adult,1.00
road_haulage,1920,,AgeBand,OlderAdult,0.55
road_haulage,1920,,Temperament,Phlegmatic,1.20
road_haulage,1920,,Temperament,Choleric,1.10
consumer_goods_and_appliances,1920,,AgeBand,YoungAdult,1.25
consumer_goods_and_appliances,1920,,AgeBand,Adult,1.00
consumer_goods_and_appliances,1920,,AgeBand,OlderAdult,0.55
consumer_goods_and_appliances,1920,,Temperament,Phlegmatic,1.20
consumer_goods_and_appliances,1920,,Temperament,Choleric,1.10
tourism_and_travel,1850,,AgeBand,YoungAdult,1.05
tourism_and_travel,1850,,AgeBand,Adult,1.05
tourism_and_travel,1850,,AgeBand,OlderAdult,0.90
tourism_and_travel,1850,,Temperament,Sanguine,1.20
tourism_and_travel,1850,,Temperament,Phlegmatic,1.10
plastics_industry,1940,,AgeBand,YoungAdult,0.90
plastics_industry,1940,,AgeBand,Adult,1.20
plastics_industry,1940,,AgeBand,OlderAdult,1.00
plastics_industry,1940,,Temperament,Melancholic,1.20
plastics_industry,1940,,Temperament,Phlegmatic,1.10
electronics_manufacturing,1950,,AgeBand,YoungAdult,1.25
electronics_manufacturing,1950,,AgeBand,Adult,1.00
electronics_manufacturing,1950,,AgeBand,OlderAdult,0.55
electronics_manufacturing,1950,,Temperament,Phlegmatic,1.20
electronics_manufacturing,1950,,Temperament,Choleric,1.10
pharmaceuticals,1900,,AgeBand,YoungAdult,0.90
pharmaceuticals,1900,,AgeBand,Adult,1.20
pharmaceuticals,1900,,AgeBand,OlderAdult,1.00
pharmaceuticals,1900,,Temperament,Melancholic,1.20
pharmaceuticals,1900,,Temperament,Phlegmatic,1.10
television,1952,,AgeBand,YoungAdult,1.15
television,1952,,AgeBand,Adult,1.05
television,1952,,AgeBand,OlderAdult,0.80
television,1952,,Temperament,Sanguine,1.20
television,1952,,Temperament,Melancholic,1.10
telecommunications,1880,,AgeBand,YoungAdult,0.90
telecommunications,1880,,AgeBand,Adult,1.20
telecommunications,1880,,AgeBand,OlderAdult,1.00
telecommunications,1880,,Temperament,Melancholic,1.20
telecommunications,1880,,Temperament,Phlegmatic,1.10
engineering_services,1850,,AgeBand,YoungAdult,0.90
engineering_services,1850,,AgeBand,Adult,1.20
engineering_services,1850,,AgeBand,OlderAdult,1.00
engineering_services,1850,,Temperament,Melancholic,1.20
engineering_services,1850,,Temperament,Phlegmatic,1.10
logistics_and_warehousing,1950,,AgeBand,YoungAdult,1.25
logistics_and_warehousing,1950,,AgeBand,Adult,1.00
logistics_and_warehousing,1950,,AgeBand,OlderAdult,0.55
logistics_and_warehousing,1950,,Temperament,Phlegmatic,1.20
logistics_and_warehousing,1950,,Temperament,Choleric,1.10
computing_and_it_services,1970,,AgeBand,YoungAdult,1.30
computing_and_it_services,1970,,AgeBand,Adult,1.00
computing_and_it_services,1970,,AgeBand,OlderAdult,0.65
computing_and_it_services,1970,,Temperament,Melancholic,1.20
computing_and_it_services,1970,,Temperament,Phlegmatic,1.10
investment_and_financial_services,1980,,AgeBand,YoungAdult,0.90
investment_and_financial_services,1980,,AgeBand,Adult,1.20
investment_and_financial_services,1980,,AgeBand,OlderAdult,1.00
investment_and_financial_services,1980,,Temperament,Choleric,1.20
investment_and_financial_services,1980,,Temperament,Melancholic,1.10
private_security,1980,,AgeBand,YoungAdult,1.25
private_security,1980,,AgeBand,Adult,1.00
private_security,1980,,AgeBand,OlderAdult,0.55
private_security,1980,,Temperament,Choleric,1.20
private_security,1980,,Temperament,Phlegmatic,1.10
biotechnology,1990,,AgeBand,YoungAdult,0.90
biotechnology,1990,,AgeBand,Adult,1.20
biotechnology,1990,,AgeBand,OlderAdult,1.00
biotechnology,1990,,Temperament,Melancholic,1.20
biotechnology,1990,,Temperament,Phlegmatic,1.10
software_industry,1980,,AgeBand,YoungAdult,1.30
software_industry,1980,,AgeBand,Adult,1.00
software_industry,1980,,AgeBand,OlderAdult,0.65
software_industry,1980,,Temperament,Melancholic,1.20
software_industry,1980,,Temperament,Phlegmatic,1.10
video_game_industry,1995,,AgeBand,YoungAdult,1.30
video_game_industry,1995,,AgeBand,Adult,1.00
video_game_industry,1995,,AgeBand,OlderAdult,0.65
video_game_industry,1995,,Temperament,Melancholic,1.20
video_game_industry,1995,,Temperament,Phlegmatic,1.10
business_process_outsourcing,1995,,AgeBand,YoungAdult,1.05
business_process_outsourcing,1995,,AgeBand,Adult,1.05
