Number,Id,Name,Emoji,StartYear,EndYear,MaleEarly,FemaleEarly,MaleLate,FemaleLate,BaseSalary,Level1Title,Level2Title,Level3Title,Level4Title,Level5Title,LocationType,MinimumSettlementClass,RequiredOpportunityTags,PrimaryStat,SecondaryStat,EducationProfile,CareerFamily
1,agriculture_and_farm_estates,Agriculture & Farm Estates,🌾,1700,,180,120,14,11,400,Farm Hand,Farm Worker,Farm Foreman,Estate Manager,Agricultural Magnate,Generic,SmallTown,-,strength,intellect,Low,agriculture
2,horse_and_carriage_trade,Horse & Carriage Trade,🐎,1700,1955,95,5,7,1,450,Stable Hand,Groom,Stable Master,Stud Manager,Horse-Trade Magnate,Generic,SmallTown,-,strength,appeal,Skilled,transport
3,blacksmithing,Blacksmithing,🔨,1700,1970,89,1,11,1,600,Smithy Helper,Blacksmith,Master Blacksmith,Smithy Proprietor,Metalcraft Magnate,Generic,SmallTown,-,strength,intellect,Skilled,skilled_trades
4,coal_mining,Coal Mining,⛏️,1750,,54,1,24,1,700,Pit Hand,Miner,Mine Foreman,Colliery Director,Coal Magnate,Specialist,SmallTown,coal,strength,intellect,Low,extraction
5,oil_and_refining,Oil & Refining,🛢️,1855,,33,2,28,7,850,Drilling Hand,Rig Operator,Field Supervisor,Refinery Director,Oil Magnate,Specialist,SmallTown,oil,strength,intellect,Skilled,extraction
6,steel_and_foundry,Iron & Steel Foundry,⚙️,1800,,64,1,30,5,700,Foundry Hand,Ironworker,Foundry Foreman,Works Director,Steel Magnate,Specialist,Town,steel;heavy_industry,strength,intellect,Skilled,heavy_industry
7,textile_mills,Textile Mills,🧵,1790,2005,38,88,6,10,450,Mill Hand,Weaver,Floor Supervisor,Mill Director,Textile Magnate,Specialist,Town,textiles,strength,intellect,Skilled,textiles_apparel
8,timber_and_sawmills,Timber & Sawmills,🪵,1700,,76,4,30,5,600,Logging Hand,Sawyer,Logging Foreman,Timber Director,Timber Magnate,Specialist,SmallTown,forestry,strength,intellect,Low,forestry_wood
9,construction,Construction,🧱,1700,,74,2,64,11,600,Laborer,Craftsman,Master Builder,Building Contractor,Construction Magnate,Generic,SmallTown,-,strength,intellect,Low,construction
10,railways,Railways,🚂,1840,,86,4,22,8,650,Track Hand,Railway Clerk,Station Master,Regional Director,Railway Magnate,Generic,Town,-,strength,intellect,Clerical,transport
11,shipping_and_ports,Shipping & Ports,⚓,1700,,64,1,38,7,650,Dock Hand,Shipping Clerk,Dockmaster,Shipping Director,Shipping Magnate,Specialist,Town,port;shipping,strength,intellect,Low,maritime
12,mass_factory_manufacturing,Factory Manufacturing,🏭,1820,2000,78,42,10,8,500,Factory Hand,Machine Operator,Shift Foreman,Factory Director,Industrial Magnate,Specialist,Town,manufacturing,strength,intellect,Low,manufacturing
13,traditional_printworks,Printing & Printworks,📜,1700,2015,28,7,8,7,550,Press Hand,Typesetter,Master Printer,Printing House Proprietor,Printing Magnate,Generic,Town,-,intellect,strength,Skilled,media_print
14,newspapers_and_publishing,Newspapers & Publishing,📰,1800,,26,4,22,22,600,Copy Runner,Reporter,Editor,Publisher,Press Magnate,Urban,City,-,intellect,appeal,Clerical,media_print
15,retail_trade,Commerce & Retail,🏪,1700,,26,39,45,55,500,Shop Hand,Trader,Merchant,Commercial Director,Trade Magnate,Generic,SmallTown,-,appeal,intellect,Clerical,commerce
16,banking,Banking,🏦,1800,,21,4,36,44,700,Bank Messenger,Bank Clerk,Branch Manager,Bank Director,Banking Magnate,Urban,City,-,intellect,appeal,Clerical,finance
17,insurance,Insurance,☂️,1800,,16,4,29,36,650,Office Runner,Insurance Clerk,Branch Manager,Company Director,Insurance Magnate,Urban,City,-,intellect,appeal,Clerical,finance
18,hotels_and_restaurants,Inns & Hospitality,🏨,1700,,27,33,45,55,450,Kitchen Hand,Inn Worker,Innkeeper,Hotel Proprietor,Hospitality Magnate,Generic,SmallTown,-,appeal,strength,Clerical,hospitality
19,food_processing,Food Processing,🥫,1850,,27,33,38,38,500,Packing Hand,Production Worker,Floor Manager,Plant Director,Food Industry Magnate,Specialist,Town,food;agriculture,strength,intellect,Skilled,food
20,baking_and_confectionery,Baking & Confectionery,🥖,1700,,39,26,34,41,500,Bakery Hand,Baker,Master Baker,Bakery Proprietor,Bakery Magnate,Generic,SmallTown,-,strength,intellect,Skilled,food
21,meat_trade,Meat Trade,🥩,1700,,50,6,38,16,550,Slaughterhouse Hand,Butcher,Master Butcher,Meatworks Director,Meat Industry Magnate,Generic,SmallTown,-,strength,intellect,Skilled,food
22,tailoring_and_fashion,Tailoring & Fashion,👗,1700,,26,49,20,46,500,Workshop Hand,Tailor,Master Tailor,Fashion House Director,Fashion Magnate,Generic,SmallTown,-,intellect,appeal,Skilled,textiles_apparel
23,leather_and_shoemaking,Leather & Shoemaking,👞,1700,2010,56,14,5,3,500,Tannery Hand,Shoemaker,Master Leatherworker,Leatherworks Director,Leather Magnate,Generic,SmallTown,-,strength,intellect,Skilled,skilled_trades
24,furniture_and_carpentry,Furniture & Carpentry,🪚,1700,,71,4,42,8,550,Workshop Hand,Carpenter,Master Carpenter,Furniture Works Director,Furniture Magnate,Generic,SmallTown,-,strength,intellect,Skilled,forestry_wood
25,glass_and_ceramics,Glass & Ceramics,🏺,1700,,28,12,24,16,550,Kiln Hand,Glassworker,Workshop Master,Works Director,Glass & Ceramics Magnate,Generic,Town,-,strength,intellect,Skilled,skilled_trades
26,jewellery_and_watchmaking,Jewellery & Watchmaking,💍,1700,,21,4,23,12,700,Shop Assistant,Jeweller,Master Jeweller,Jewellery House Director,Luxury Goods Magnate,Generic,Town,-,intellect,appeal,Skilled,skilled_trades
27,photography,Photography,📷,1840,,18,2,19,16,650,Studio Assistant,Photographer,Studio Manager,Agency Director,Photography Magnate,Generic,Town,-,intellect,appeal,Skilled,media_creative
28,domestic_service,Domestic Service,🧹,1700,1975,20,80,2,6,350,Domestic Servant,Senior Servant,House Steward,Service Agency Director,Domestic Services Magnate,Generic,SmallTown,-,strength,appeal,Low,personal_services
29,laundry_and_dry_cleaning,Laundry Services,🧺,1800,,7,28,16,29,400,Laundry Hand,Presser,Shop Manager,Chain Director,Laundry Magnate,Generic,Town,-,strength,intellect,Low,personal_services
30,funeral_services,Funeral Services,⚰️,1700,,17,3,18,12,600,Undertaker's Assistant,Mortuary Worker,Funeral Manager,Company Director,Funeral Services Magnate,Generic,SmallTown,-,intellect,appeal,Skilled,personal_services
31,real_estate,Property & Real Estate,🏠,1850,,18,2,38,38,650,Office Runner,Property Clerk,Estate Agent,Agency Director,Property Magnate,Generic,Town,-,appeal,intellect,Clerical,property
32,accounting,Bookkeeping & Accounting,🧮,1700,,22,8,30,55,700,Clerk,Bookkeeper,Accountant,Firm Partner,Accounting Magnate,Generic,Town,-,intellect,-,Clerical,business_services
33,legal_services,Legal Services,⚖️,1700,,19,1,32,32,800,Legal Clerk,Legal Assistant,Advocate,Firm Partner,Legal Magnate,Urban,City,-,intellect,appeal,Professional,legal
34,healthcare_services,Medicine & Healthcare,🩺,1700,,12,18,30,70,750,Medical Attendant,Medical Assistant,Physician,Senior Physician,Healthcare Magnate,Generic,SmallTown,-,intellect,appeal,Professional,healthcare
35,pharmacy,Apothecary & Pharmacy,⚗️,1700,,13,9,19,56,750,Apothecary Assistant,Apothecary,Pharmacist,Pharmacy Proprietor,Pharmacy Magnate,Generic,Town,-,intellect,-,Professional,science_health
36,education,Education & Tutoring,📚,1700,,12,18,25,75,550,Tutor Assistant,Teacher,Head Teacher,Schoolmaster,Education Magnate,Generic,SmallTown,-,intellect,appeal,Professional,education
37,electric_power,Electric Power,⚡,1890,,59,1,58,6,700,Line Hand,Electrician,Grid Supervisor,Utility Director,Power Magnate,Generic,Town,-,strength,intellect,Skilled,utilities
38,cinema_and_film,Cinema & Film,🎬,1900,,38,7,19,16,600,Studio Hand,Film Technician,Production Manager,Studio Director,Film Magnate,Urban,City,-,appeal,intellect,Clerical,media_creative
39,advertising,Advertising,📣,1900,,26,9,29,36,650,Office Runner,Copywriter,Account Manager,Agency Director,Advertising Magnate,Urban,City,-,appeal,intellect,Clerical,media_creative
40,automotive_industry,Automotive Industry,🚗,1910,,79,1,55,10,650,Assembly Worker,Mechanic,Production Manager,Motorworks Director,Automotive Magnate,Specialist,Town,automotive,strength,intellect,Skilled,manufacturing
41,chemical_industry,Chemical Industry,🧪,1880,,71,4,42,18,750,Plant Hand,Chemical Operator,Plant Supervisor,Chemical Works Director,Chemical Magnate,Specialist,Town,chemicals,intellect,strength,Professional,chemical
