CraftId,CareerId,Relevance
metalworking,blacksmithing,Primary
metalworking,steel_and_foundry,Primary
metalworking,automotive_industry,Secondary
metalworking,engineering_services,Secondary
metalworking,construction,Secondary
metalworking,shipbuilding,Secondary
woodworking_carpentry,furniture_and_carpentry,Primary
woodworking_carpentry,construction,Primary
woodworking_carpentry,timber_and_sawmills,Secondary
woodworking_carpentry,shipbuilding,Secondary
masonry,construction,Primary
pottery_ceramics,glass_and_ceramics,Primary
glassworking,glass_and_ceramics,Primary
glassworking,construction,Secondary
tailoring_sewing,tailoring_and_fashion,Primary
tailoring_sewing,textile_mills,Secondary
tailoring_sewing,domestic_service,Secondary
weaving_textiles,textile_mills,Primary
weaving_textiles,tailoring_and_fashion,Secondary
leatherworking_shoemaking,leather_and_shoemaking,Primary
jewellery_watchmaking,jewellery_and_watchmaking,Primary
printing_bookbinding,traditional_printworks,Primary
printing_bookbinding,newspapers_and_publishing,Secondary
baking_confectionery,baking_and_confectionery,Primary
baking_confectionery,food_processing,Secondary
baking_confectionery,hotels_and_restaurants,Secondary
food_processing_preservation,food_processing,Primary
food_processing_preservation,meat_trade,Primary
food_processing_preservation,agriculture_and_farm_estates,Secondary
food_processing_preservation,hotels_and_restaurants,Secondary
hairdressing_cosmetics,beauty_and_cosmetics,Primary
shipwrighting,shipbuilding,Primary
shipwrighting,shipping_and_ports,Secondary
photography,photography,Primary
photography,newspapers_and_publishing,Secondary
photography,cinema_and_film,Secondary
photography,digital_media,Secondary
plumbing,construction,Primary
plumbing,municipal_utilities,Primary
machining,mass_factory_manufacturing,Primary
machining,steel_and_foundry,Secondary
machining,automotive_industry,Secondary
machining,engineering_services,Secondary
mechanical_repair,railways,Primary
mechanical_repair,automotive_industry,Secondary
mechanical_repair,engineering_services,Secondary
mechanical_repair,road_haulage,Secondary
mechanical_repair,consumer_goods_and_appliances,Secondary
electrical_work,electric_power,Primary
electrical_work,engineering_services,Primary
electrical_work,telecommunications,Secondary
electrical_work,electronics_manufacturing,Secondary
electrical_work,renewable_energy,Secondary
electrical_work,municipal_utilities,Secondary
automotive_repair,automotive_industry,Primary
automotive_repair,road_haulage,Primary
welding_metal_fabrication,steel_and_foundry,Primary
welding_metal_fabrication,shipbuilding,Primary
welding_metal_fabrication,construction,Secondary
welding_metal_fabrication,automotive_industry,Secondary
welding_metal_fabrication,engineering_services,Secondary
radio_electronics,radio_broadcasting,Primary
radio_electronics,electronics_manufacturing,Primary
radio_electronics,telecommunications,Primary
radio_electronics,television,Secondary
radio_electronics,consumer_goods_and_appliances,Secondary
aircraft_maintenance,aviation,Primary
plastics_fabrication,plastics_industry,Primary
plastics_fabrication,consumer_goods_and_appliances,Secondary
plastics_fabrication,automotive_industry,Secondary
computer_hardware_repair,computing_and_it_services,Primary
computer_hardware_repair,electronics_manufacturing,Secondary
computer_hardware_repair,telecommunications,Secondary
computer_hardware_repair,software_industry,Secondary
