ItemId,StartYear,EndYear,Dimension,Value,WeightMultiplier
metalworking,1700,,AgeBand,Child,0.30
metalworking,1700,,AgeBand,Adolescent,1.30
metalworking,1700,,AgeBand,YoungAdult,1.35
metalworking,1700,,AgeBand,Adult,0.90
metalworking,1700,,AgeBand,OlderAdult,0.50
metalworking,1700,,AgeBand,Elderly,0.20
metalworking,1700,,Temperament,Choleric,1.20
metalworking,1700,,Temperament,Phlegmatic,1.10
metalworking,1700,1899,Sex,Male,2.40
metalworking,1700,1899,Sex,Female,0.35
metalworking,1900,1945,Sex,Male,2.10
metalworking,1900,1945,Sex,Female,0.45
metalworking,1946,1989,Sex,Male,1.60
metalworking,1946,1989,Sex,Female,0.70
metalworking,1990,,Sex,Male,1.25
metalworking,1990,,Sex,Female,0.90
woodworking_carpentry,1700,,AgeBand,Child,0.60
woodworking_carpentry,1700,,AgeBand,Adolescent,1.40
woodworking_carpentry,1700,,AgeBand,YoungAdult,1.25
woodworking_carpentry,1700,,AgeBand,Adult,0.90
woodworking_carpentry,1700,,AgeBand,OlderAdult,0.60
woodworking_carpentry,1700,,AgeBand,Elderly,0.35
woodworking_carpentry,1700,,Temperament,Phlegmatic,1.20
woodworking_carpentry,1700,,Temperament,Melancholic,1.10
woodworking_carpentry,1700,1899,Sex,Male,2.40
woodworking_carpentry,1700,1899,Sex,Female,0.35
woodworking_carpentry,1900,1945,Sex,Male,2.10
woodworking_carpentry,1900,1945,Sex,Female,0.45
woodworking_carpentry,1946,1989,Sex,Male,1.60
woodworking_carpentry,1946,1989,Sex,Female,0.70
woodworking_carpentry,1990,,Sex,Male,1.25
woodworking_carpentry,1990,,Sex,Female,0.90
masonry,1700,,AgeBand,Child,0.30
masonry,1700,,AgeBand,Adolescent,1.30
masonry,1700,,AgeBand,YoungAdult,1.35
masonry,1700,,AgeBand,Adult,0.90
masonry,1700,,AgeBand,OlderAdult,0.50
masonry,1700,,AgeBand,Elderly,0.20
masonry,1700,,Temperament,Choleric,1.20
masonry,1700,,Temperament,Phlegmatic,1.10
masonry,1700,1899,Sex,Male,2.40
