FarmTypeId,RegionId,WeightMultiplier
flax,eastern_belarus,1.6
flax,grodno,1.6
flax,inflanty,1.6
flax,lithuania,1.6
flax,lower_silesia,0.55
flax,lubusz,0.55
flax,novogrudok,1.6
flax,podlasie,1.6
flax,polesie,1.6
flax,upper_dvina,1.6
flax,vilnius,1.6
flax,west_pomerania,0.55
hops,eastern_belarus,0.55
hops,greater_poland,1.6
hops,lesser_poland,1.6
hops,lublin,1.6
hops,opole,1.6
hops,polesie,0.55
hops,silesia,1.6
hops,upper_dvina,0.55
orchard,eastern_galicia,1.55
orchard,inflanty,0.6
orchard,lesser_poland,1.55
orchard,lublin,1.55
orchard,masovia,1.55
orchard,podolia,1.55
orchard,right_bank_ukraine,1.55
orchard,subcarpathia,1.55
orchard,upper_dvina,0.6
orchard,warmia_masuria,0.6
potatoes,greater_poland,1.35
potatoes,kujawy_pomerania,1.35
potatoes,lower_silesia,1.35
potatoes,opole,1.35
potatoes,podlasie,1.35
potatoes,pomerania,1.35
potatoes,silesia,1.35
potatoes,warmia_masuria,1.35
rye,eastern_belarus,1.4
rye,eastern_galicia,0.75
rye,grodno,1.4
rye,inflanty,1.4
rye,lesser_poland,0.75
rye,lithuania,1.4
rye,novogrudok,1.4
rye,podlasie,1.4
rye,pomerania,1.4
rye,subcarpathia,0.75
rye,upper_dvina,1.4
rye,vilnius,1.4
rye,warmia_masuria,1.4
rye,west_pomerania,1.4
vegetables,greater_poland,1.25
vegetables,lesser_poland,1.25
vegetables,lodz,1.25
vegetables,lublin,1.25
vegetables,masovia,1.25
vegetables,silesia,1.25
vineyard,eastern_galicia,1.6
vineyard,inflanty,0.25
vineyard,lesser_poland,2.5
vineyard,lower_silesia,2.5
vineyard,lubusz,2.5
vineyard,opole,1.6
vineyard,polesie,0.25
vineyard,subcarpathia,2.5
vineyard,upper_dvina,0.25
vineyard,warmia_masuria,0.25
wheat,eastern_belarus,0.75
wheat,greater_poland,1.35
wheat,inflanty,0.75
wheat,kujawy_pomerania,1.35
wheat,lodz,1.35
wheat,lower_silesia,1.35
wheat,lublin,1.35
wheat,masovia,1.35
wheat,opole,1.35
wheat,polesie,0.75
wheat,silesia,1.35
wheat,upper_dvina,0.75
