LivestockTypeId,RegionId,WeightMultiplier
cows,greater_poland,1.25
cows,kujawy_pomerania,1.25
cows,lesser_poland,1.25
cows,lodz,1.25
cows,lower_silesia,1.25
cows,lublin,1.25
cows,masovia,1.25
geese,kujawy_pomerania,1.45
geese,lithuania,1.45
geese,podlasie,1.45
geese,polesie,1.45
geese,pomerania,1.45
geese,vilnius,1.45
geese,warmia_masuria,1.45
goats,eastern_galicia,1.7
goats,lesser_poland,1.7
goats,podolia,1.7
goats,pomerania,0.6
goats,subcarpathia,1.7
goats,warmia_masuria,0.6
goats,west_pomerania,0.6
horses,grodno,1.25
horses,lublin,1.25
horses,masovia,1.25
horses,novogrudok,1.25
horses,podlasie,1.25
horses,podolia,1.25
horses,right_bank_ukraine,1.25
horses,vilnius,1.25
horses,volhynia,1.25
pigs,eastern_belarus,0.7
pigs,greater_poland,1.35
pigs,kujawy_pomerania,1.35
pigs,lower_silesia,1.35
pigs,lubusz,1.35
pigs,opole,1.35
pigs,podolia,0.7
pigs,pomerania,1.35
pigs,right_bank_ukraine,0.7
pigs,silesia,1.35
pigs,upper_dvina,0.7
pigs,west_pomerania,1.35
sheep,eastern_galicia,1.55
sheep,lesser_poland,1.55
sheep,podolia,1.55
sheep,silesia,1.55
sheep,subcarpathia,1.55
sheep,volhynia,1.55
