ItemId,StartYear,EndYear,Dimension,Value,WeightMultiplier
tuberculosis,1700,1849,All,,2.5
tuberculosis,1850,1913,All,,2.0
tuberculosis,1914,1945,All,,1.2
tuberculosis,1946,1989,All,,0.35
tuberculosis,1990,,All,,0.15
pneumonia,1700,1849,All,,1.3
pneumonia,1850,1913,All,,1.2
pneumonia,1914,1945,All,,1.1
pneumonia,1946,,All,,1.0
gastroenteritis,1700,1849,All,,1.5
gastroenteritis,1850,1913,All,,1.3
gastroenteritis,1914,1945,All,,1.15
gastroenteritis,1946,1989,All,,0.85
gastroenteritis,1990,,All,,0.75
bronchitis,1700,1849,All,,1.05
bronchitis,1850,1913,All,,1.2
bronchitis,1914,1945,All,,1.15
bronchitis,1946,,All,,1.0
measles,1700,1945,All,,2.0
measles,1946,1962,All,,1.8
measles,1963,1989,All,,0.6
measles,1990,,All,,0.15
whooping_cough,1700,1945,All,,1.8
whooping_cough,1946,1989,All,,0.45
whooping_cough,1990,,All,,0.25
smallpox,1700,1799,All,,3.0
smallpox,1800,1849,All,,1.8
smallpox,1850,1913,All,,0.6
smallpox,1914,1945,All,,0.12
smallpox,1946,1979,All,,0.01
typhoid_fever,1700,1849,All,,2.5
typhoid_fever,1850,1913,All,,2.0
typhoid_fever,1914,1945,All,,0.8
typhoid_fever,1946,1989,All,,0.15
typhoid_fever,1990,,All,,0.05
polio,1700,1849,All,,0.4
polio,1850,1913,All,,1.15
polio,1914,1945,All,,1.8
polio,1946,1989,All,,0.45
polio,1990,2002,All,,0.05
chronic_lung_disease,1700,1849,All,,0.7
chronic_lung_disease,1850,1945,All,,1.25
chronic_lung_disease,1946,1989,All,,1.15
chronic_lung_disease,1990,,All,,1.0
common_cold,1700,,AgeBand,Child,1.2
influenza,1700,,AgeBand,Infant,1.25
influenza,1700,,AgeBand,Child,1.15
influenza,1700,,AgeBand,OlderAdult,1.2
influenza,1700,,AgeBand,Elderly,1.5
gastroenteritis,1700,,AgeBand,Infant,1.2
gastroenteritis,1700,,AgeBand,Child,1.25
migraines,1700,,AgeBand,Adolescent,1.25
migraines,1700,,AgeBand,YoungAdult,1.5
migraines,1700,,AgeBand,Adult,1.2
migraines,1700,,AgeBand,OlderAdult,0.7
migraines,1700,,AgeBand,Elderly,0.4
seasonal_allergies,1700,,AgeBand,Child,1.25
seasonal_allergies,1700,,AgeBand,Adolescent,1.3
seasonal_allergies,1700,,AgeBand,YoungAdult,1.15
measles,1700,,AgeBand,Infant,1.5
measles,1700,,AgeBand,Child,3.0
measles,1700,,AgeBand,Adolescent,1.5
measles,1700,,AgeBand,YoungAdult,0.5
measles,1700,,AgeBand,Adult,0.3
measles,1700,,AgeBand,OlderAdult,0.2
measles,1700,,AgeBand,Elderly,0.1
whooping_cough,1700,,AgeBand,Infant,3.0
whooping_cough,1700,,AgeBand,Child,2.5
whooping_cough,1700,,AgeBand,Adolescent,1.0
whooping_cough,1700,,AgeBand,YoungAdult,0.55
whooping_cough,1700,,AgeBand,Adult,0.45
whooping_cough,1700,,AgeBand,OlderAdult,0.4
whooping_cough,1700,,AgeBand,Elderly,0.4
pneumonia,1700,,AgeBand,Infant,1.5
pneumonia,1700,,AgeBand,Child,1.1
pneumonia,1700,,AgeBand,OlderAdult,1.4
