CraftId,MasteryLevel,ExpectedCashIncome,ExpectedHeirloomValueCreated,ExpectedTotalEconomicValueBeforeRoyalties
musician,1,423.4,7.5,430.9
musician,2,456.22,30.0,486.22
musician,3,500.44,150.0,650.44
musician,4,567.45,735.0,1302.45
musician,5,702.87,3480.0,4182.87
painter,1,488.53,7.5,496.03
painter,2,526.41,30.0,556.41
painter,3,577.43,150.0,727.43
painter,4,654.75,735.0,1389.75
painter,5,811.0,3480.0,4291.0
writer,1,390.83,7.5,398.33
writer,2,421.13,30.0,451.13
writer,3,461.95,150.0,611.95
writer,4,523.8,735.0,1258.8
writer,5,648.8,3480.0,4128.8
sculptor,1,586.24,7.5,593.74
sculptor,2,631.69,30.0,661.69
sculptor,3,692.92,150.0,842.92
sculptor,4,785.7,735.0,1520.7
sculptor,5,973.2,3480.0,4453.2
