CareerFamily,TemplateId
agriculture,career_presentation_tools
business_services,career_finance_case
chemical,career_science_medal
commerce,career_gold_watch
construction,career_engineering_set
education,academic_academic_medal
engineering,career_engineering_set
extraction,career_service_medal
finance,career_finance_case
food,career_chef_silverware
forestry_wood,career_presentation_tools
healthcare,career_medical_case
heavy_industry,career_engineering_set
hospitality,career_chef_silverware
legal,career_legal_seal
manufacturing,career_engineering_set
maritime,career_captain_sextant
media_creative,career_stage_award
media_print,career_press_award
military,career_officer_sabre
personal_services,career_gold_watch
property,career_property_deed_case
public_service,career_civic_medal
religion,career_religious_book
science_health,career_science_medal
security,career_service_medal
skilled_trades,career_presentation_tools
technology,career_technology_award
textiles_apparel,career_presentation_tools
transport,career_railway_watch
utilities,career_engineering_set
