CraftId,TemplateId
metalworking,craft_master_hammer
woodworking_carpentry,craft_carved_chest
masonry,craft_stone_plaque
pottery_ceramics,craft_ceramic_set
glassworking,craft_cut_glass_vessel
tailoring_sewing,craft_formal_coat
weaving_textiles,craft_tapestry
leatherworking_shoemaking,craft_leather_case
jewellery_watchmaking,craft_pocket_watch
printing_bookbinding,craft_fine_volume
baking_confectionery,craft_recipe_book
food_processing_preservation,craft_preserves_book
hairdressing_cosmetics,craft_grooming_set
shipwrighting,craft_model_ship
photography,craft_photo_album
plumbing,craft_pipe_wrench
machining,craft_precision_gauge
mechanical_repair,craft_tool_chest
electrical_work,craft_electrical_meter
automotive_repair,craft_auto_toolkit
welding_metal_fabrication,craft_ironwork
radio_electronics,craft_radio
aircraft_maintenance,craft_aircraft_instrument
plastics_fabrication,craft_design_prototype
computer_hardware_repair,craft_custom_computer
