TemplateId,Category,NamePattern,Emoji,BaseValue,Significance,StartYear,EndYear,AcquisitionNewsKey,Notes
academic_scholar_manuscript,Academic,{Person}'s Scholar's Manuscript,📜,1800,Notable,1700,1849,academic,
academic_bound_dissertation,Academic,{Person}'s Bound Dissertation,📕,2200,Notable,1800,,academic,
academic_university_diploma,Academic,{Person}'s University Diploma,🎓,1800,Notable,1800,,academic,
academic_annotated_reference,Academic,{Person}'s Annotated Reference Book,📚,2500,Notable,1700,,academic,
academic_academic_medal,Academic,{Person}'s Academic Medal,🏅,3200,Exceptional,1850,,academic,
academic_research_notebook,Academic,{Person}'s Research Notebook,📔,1800,Notable,1850,,academic,
career_gold_watch,Career,{Person}'s Gold Presentation Watch,⌚,4500,Exceptional,1700,,career,
career_professional_seal,Career,{Person}'s Engraved Professional Seal,🔏,3500,Exceptional,1700,,career,
career_medical_case,Career,{Person}'s Physician's Instrument Case,🩺,4500,Exceptional,1700,,career,
career_legal_seal,Career,{Person}'s Judge's Seal,⚖️,5000,Exceptional,1700,,career,
career_officer_sabre,Career,{Person}'s Officer's Ceremonial Sabre,⚔️,6000,Exceptional,1700,,career,
career_railway_watch,Career,{Person}'s Railway Service Watch,🚂,4200,Exceptional,1700,,career,
career_captain_sextant,Career,{Person}'s Captain's Sextant,🧭,6000,Exceptional,1700,,career,
career_civic_medal,Career,{Person}'s Civic Service Medal,🏅,4000,Exceptional,1700,,career,
career_press_award,Career,{Person}'s Press Award Plaque,📰,3500,Exceptional,1700,,career,
career_engineering_set,Career,{Person}'s Engineer's Drawing Set,📐,4500,Exceptional,1700,,career,
career_science_medal,Career,{Person}'s Scientific Achievement Medal,🔬,5000,Exceptional,1700,,career,
career_stage_award,Career,{Person}'s Stage Award,🎭,4000,Exceptional,1700,,career,
career_presentation_tools,Career,{Person}'s Presentation Tool Set,🛠️,3800,Exceptional,1700,,career,
career_technology_award,Career,{Person}'s Technology Award,💻,5000,Exceptional,1700,,career,
