HistoricalEventId,ChanceIfHouseholdDirectlyAffected,TemplateIds
great_northern_war,0.12,historical_war_prayer_book;historical_hidden_correspondence
war_polish_succession,0.1,historical_war_prayer_book;historical_hidden_correspondence
bar_confederation,0.15,historical_hidden_correspondence;historical_insurgent_keepsake
first_partition,0.15,historical_commonwealth_document
second_partition,0.15,historical_commonwealth_document
kosciuszko_uprising,0.2,historical_insurgent_keepsake;historical_hidden_correspondence
third_partition,0.2,historical_commonwealth_document
napoleonic_wars_1806_1809,0.1,historical_field_postcards;historical_war_prayer_book
russian_campaign_1812_1813,0.12,historical_war_prayer_book;historical_field_postcards
november_uprising,0.22,historical_insurgent_keepsake;historical_hidden_correspondence
post_november_repression,0.18,historical_hidden_correspondence;historical_evacuation_papers
january_uprising,0.22,historical_insurgent_keepsake;historical_hidden_correspondence
post_january_repression,0.18,historical_hidden_correspondence;historical_evacuation_papers
revolution_1905,0.1,historical_protest_leaflet;historical_hidden_correspondence
first_world_war,0.1,historical_field_postcards;historical_war_prayer_book
great_retreat_1915,0.25,historical_evacuation_papers;historical_recovered_photo
spanish_influenza,0.05,historical_pandemic_diary;historical_war_prayer_book
greater_poland_uprising_1918,0.18,historical_insurgent_keepsake;historical_field_postcards
polish_ukrainian_war,0.15,historical_field_postcards;historical_recovered_photo
polish_soviet_war,0.15,historical_field_postcards;historical_insurgent_keepsake
silesian_uprisings,0.18,historical_insurgent_keepsake;historical_hidden_correspondence
southern_flood_1934,0.15,historical_recovered_photo
invasion_1939,0.2,historical_evacuation_papers;historical_recovered_photo;historical_war_prayer_book
soviet_deportations,0.45,historical_deportation_papers;historical_recovered_photo
ghettoization,0.3,historical_recovered_photo;historical_war_prayer_book
holocaust_mass_murder,0.5,historical_recovered_photo;historical_war_prayer_book
volhynia_anti_polish_violence,0.35,historical_recovered_photo;historical_evacuation_papers
retaliatory_violence_ukrainian,0.25,historical_recovered_photo;historical_evacuation_papers
warsaw_uprising_1944,0.5,historical_uprising_armband;historical_burned_photo;historical_evacuation_papers
kresy_postwar_resettlement,0.5,historical_lost_home_deed;historical_resettlement_document;historical_old_home_key
german_postwar_expulsion,0.5,historical_old_home_key;historical_resettlement_document
operation_vistula,0.5,historical_resettlement_document;historical_old_home_key
territorial_exchange_1951,0.5,historical_resettlement_document;historical_old_home_key
poznan_june_1956,0.15,historical_protest_leaflet
march_1968,0.25,historical_internment_letter;historical_hidden_correspondence
coastal_protests_1970,0.18,historical_protest_leaflet;historical_recovered_photo
june_protests_1976,0.15,historical_protest_leaflet
solidarity_strikes_1980,0.25,historical_solidarity_badge;historical_underground_publication
martial_law,0.25,historical_internment_letter;historical_underground_publication
flood_1997,0.15,historical_recovered_photo
flood_2010,0.12,historical_recovered_photo
covid_19,0.04,historical_pandemic_diary
flood_2024,0.15,historical_recovered_photo
