Id,DisplayName,StartYear,EndYear,TriggerMode,ScopeId,TargetFilterId,EffectProfileId,MigrationRouteId,ExclusiveGroup,Priority,PlayerImpactPolicy,ChronicleAtStart,HouseholdNews,SourceGroupId,Notes
great_northern_war,Great Northern War,1700,1721,annual,plc_1700,all_household,war_low,,armed_conflict,20,normal,1,1,great_northern_war,Broad Commonwealth war disruption; intentionally lower than town-specific sieges.
great_northern_plague,Great Northern War Plague,1708,1712,annual,plc_1700,all_household,plague_epidemic,,epidemic,70,normal,1,1,great_northern_plague,Historical outbreak layer; use historical_plague condition if Health content provides it.
war_polish_succession,War of the Polish Succession,1733,1735,annual,polish_succession_regions,all_household,war_low,,armed_conflict,25,normal,1,1,war_polish_succession,
siege_gdansk_1734,Siege of Gdańsk,1734,1734,one_shot,gdansk_only,all_household,war_high,,armed_conflict,100,normal,1,1,war_polish_succession,
bar_confederation,Bar Confederation,1768,1772,annual,bar_confederation_regions,all_household,uprising_medium,,armed_conflict,45,normal,1,1,bar_confederation,
first_partition,First Partition,1772,1772,one_shot,first_partition_places,all_household,political_transition_low,,political_transition,50,normal,1,1,partitions,Scope derives automatically from Town polity changes in 1772.
second_partition,Second Partition,1793,1793,one_shot,second_partition_places,all_household,political_transition_medium,,political_transition,60,normal,1,1,partitions,
kosciuszko_uprising,Kościuszko Uprising,1794,1794,one_shot,kosciuszko_regions,all_household,uprising_high,,armed_conflict,70,normal,1,1,kosciuszko,
third_partition,Third Partition,1795,1795,one_shot,third_partition_places,all_household,political_transition_medium,,political_transition,70,normal,1,1,partitions,
napoleonic_wars_1806_1809,Napoleonic Campaigns in Polish Lands,1806,1809,annual,napoleonic_1806_1809_regions,all_household,war_medium,,armed_conflict,35,normal,1,1,napoleonic,
russian_campaign_1812_1813,Russian Campaign and Retreat,1812,1813,annual,russian_campaign_1812_regions,all_household,war_high,,armed_conflict,60,normal,1,1,napoleonic,
november_uprising,November Uprising,1830,1831,annual,november_uprising_regions,all_household,uprising_high,,armed_conflict,70,normal,1,1,november_uprising,
post_november_repression,Post-Uprising Repression and Great Emigration,1832,1832,one_shot,november_uprising_regions,all_household,repression_medium,great_emigration_west,repression,60,normal,1,1,november_uprising,External departure is adult-branch only where possible; confiscation/imprisonment model broader reprisals.
krakow_galician_1846,Kraków Uprising and Galician Violence,1846,1846,one_shot,krakow_galicia_1846_regions,all_household,civil_violence_medium,,armed_conflict,65,normal,1,1,galicia_1846,
greater_poland_uprising_1848,Greater Poland Uprising,1848,1848,one_shot,greater_poland_regions,all_household,uprising_medium,,armed_conflict,55,normal,1,1,greater_poland_1848,
january_uprising,January Uprising,1863,1864,annual,january_uprising_regions,all_household,uprising_medium,,armed_conflict,65,normal,1,1,january_uprising,
post_january_repression,Post-January Uprising Repression,1865,1865,one_shot,january_uprising_regions,all_household,repression_medium,great_emigration_west,repression,60,normal,1,1,january_uprising,
revolution_1905,Revolution of 1905 in Polish Lands,1905,1907,annual,revolution_1905_regions,all_household,protest_medium,,civil_unrest,45,normal,1,1,revolution_1905,
first_world_war,First World War,1914,1918,annual,all_places,all_household,war_medium,,armed_conflict,30,normal,1,1,ww1,
great_retreat_1915,Great Retreat and Evacuations,1915,1915,one_shot,great_retreat_regions,all_household,war_high,great_retreat_internal,armed_conflict,90,normal,1,1,great_retreat,
