Id,StartYear,EndYear,DisplayName
commonwealth,1700,1771,Polish–Lithuanian Commonwealth
age_of_partitions,1772,1794,Age of Partitions
partitioned_lands,1795,1806,Partitioned Lands
duchy_of_warsaw,1807,1814,Duchy of Warsaw
partition_era,1815,1862,Partition Era
late_partition_era,1863,1913,Late Partition Era
first_world_war,1914,1917,First World War
reborn_poland,1918,1921,Reborn Poland
second_republic,1922,1938,Second Polish Republic
second_world_war,1939,1944,Second World War
postwar_reconstruction,1945,1955,Postwar Reconstruction
peoples_republic,1956,1988,Polish People's Republic
third_republic,1989,9999,Third Polish Republic
