Id,Name,StartYear,EndYear,MinimumAge,BaseWeight,TownPreference,PrimaryStat,SecondaryStat,PrimaryTemperament,SecondaryTemperament,Emoji
reading,Reading,1700,,7,1.80,Universal,intellect,-,Melancholic,Phlegmatic,📚
storytelling,Storytelling,1700,,5,1.20,Universal,appeal,intellect,Sanguine,Phlegmatic,🗣️
singing,Singing,1700,,5,1.20,Universal,appeal,-,Sanguine,,🎤
dancing,Dancing,1700,,8,1.10,Universal,appeal,strength,Sanguine,Choleric,💃
playing_music,Playing Music,1700,,8,0.90,Urban,intellect,appeal,Melancholic,Sanguine,🎵
drawing_and_painting,Drawing & Painting,1700,,7,0.90,Urban,intellect,-,Melancholic,Phlegmatic,🎨
poetry_and_writing,Poetry & Writing,1700,,12,0.70,Urban,intellect,appeal,Melancholic,,✒️
chess,Chess,1700,,9,0.80,Urban,intellect,-,Melancholic,Phlegmatic,♟️
card_games,Card Games,1700,,10,1.10,Universal,intellect,appeal,Phlegmatic,Sanguine,🃏
board_games,Board Games,1700,,6,1.20,Universal,intellect,-,Phlegmatic,Melancholic,🎲
gardening,Gardening,1700,,8,1.30,Rural,strength,intellect,Phlegmatic,Melancholic,🌱
fishing,Fishing,1700,,9,1.00,Rural,strength,intellect,Phlegmatic,Melancholic,🎣
hunting,Hunting,1700,,16,0.70,Rural,strength,intellect,Choleric,Sanguine,🦌
target_shooting,Target Shooting,1700,,16,0.50,Rural,strength,intellect,Choleric,Phlegmatic,🎯
horse_riding,Horse Riding,1700,,11,0.60,Rural,strength,appeal,Sanguine,Choleric,🐎
woodcarving,Woodcarving,1700,,11,0.70,Rural,strength,intellect,Phlegmatic,Melancholic,🪵
needlework,Needlework,1700,,7,1.00,Universal,intellect,-,Phlegmatic,Melancholic,🧵
embroidery,Embroidery,1700,,8,0.70,Urban,intellect,-,Melancholic,Phlegmatic,🪡
knitting,Knitting,1700,,9,1.00,Universal,intellect,-,Phlegmatic,,🧶
cooking_and_baking,Cooking & Baking,1700,,8,1.40,Universal,intellect,appeal,Phlegmatic,Sanguine,🥧
social_visiting,Social Visiting,1700,,12,1.50,Universal,appeal,-,Sanguine,,☕
tavern_games,Tavern Games,1700,,18,1.00,Universal,appeal,intellect,Sanguine,Choleric,🍻
theatre,Theatre,1700,,11,0.70,Urban,appeal,intellect,Sanguine,Melancholic,🎭
concerts_and_opera,Concerts & Opera,1700,,12,0.50,Urban,intellect,appeal,Melancholic,Sanguine,🎼
walking,Walking,1700,,6,1.70,Universal,strength,-,Phlegmatic,Melancholic,🚶
skittles,Skittles,1700,,10,0.80,Universal,strength,appeal,Sanguine,Phlegmatic,🎳
swimming,Swimming,1700,,8,1.10,Universal,strength,-,Sanguine,Choleric,🏊
ice_skating,Ice Skating,1700,,8,0.80,Universal,strength,appeal,Sanguine,Choleric,⛸️
fencing,Fencing,1700,,14,0.40,Urban,strength,intellect,Choleric,Sanguine,🤺
foraging,Foraging,1700,,7,0.90,Rural,strength,intellect,Phlegmatic,Melancholic,🍄
amateur_astronomy,Amateur Astronomy,1700,,12,0.40,Universal,intellect,-,Melancholic,Phlegmatic,🔭
natural_history,Natural History,1750,,11,0.50,Universal,intellect,-,Melancholic,Phlegmatic,🔍
collecting_curiosities,Collecting Curiosities,1750,,12,0.40,Urban,intellect,-,Melancholic,Phlegmatic,🗃️
billiards,Billiards,1800,,16,0.70,Urban,intellect,appeal,Phlegmatic,Choleric,🎱
boxing,Boxing,1800,,15,0.60,Urban,strength,-,Choleric,Sanguine,🥊
rowing,Rowing,1800,,13,0.50,Urban,strength,-,Sanguine,Choleric,🚣
mountaineering,Mountaineering,1850,,16,0.40,Universal,strength,-,Choleric,Sanguine,🧗
photography,Photography,1850,,14,0.80,Urban,intellect,appeal,Melancholic,Phlegmatic,📷
gymnastics,Gymnastics,1850,,9,0.80,Urban,strength,-,Sanguine,Choleric,🤸
stamp_collecting,Stamp Collecting,1860,,8,0.60,Urban,intellect,-,Melancholic,Phlegmatic,✉️
cycling,Cycling,1880,,11,1.00,Urban,strength,-,Sanguine,Choleric,🚲
tennis,Tennis,1880,,11,0.70,Urban,strength,appeal,Sanguine,Choleric,🎾
football,Football,1890,,7,1.30,Universal,strength,appeal,Sanguine,Choleric,⚽
model_building,Model Building,1900,,9,0.70,Universal,intellect,-,Phlegmatic,Melancholic,🛠️
skiing,Skiing,1900,,9,0.70,Universal,strength,-,Choleric,Sanguine,🎿
table_tennis,Table Tennis,1900,,8,1.00,Urban,strength,intellect,Sanguine,Phlegmatic,🏓
motoring,Motoring,1905,,18,0.50,Urban,intellect,appeal,Choleric,Sanguine,🚗
cinema,Cinema,1910,,7,1.40,Urban,appeal,intellect,Sanguine,Phlegmatic,🎬
camping,Camping,1920,,9,1.00,Rural,strength,-,Sanguine,Phlegmatic,⛺
crosswords,Crosswords,1920,,10,1.20,Urban,intellect,-,Melancholic,Phlegmatic,🧩
record_collecting,Record Collecting,1920,,12,0.80,Urban,intellect,appeal,Melancholic,Sanguine,🎶
radio_listening,Radio Listening,1925,,6,1.40,Universal,intellect,-,Phlegmatic,Melancholic,📻
amateur_radio,Amateur Radio,1930,,15,0.40,Urban,intellect,-,Melancholic,Phlegmatic,📡
home_projects,Home Projects,1950,,15,1.00,Universal,strength,intellect,Phlegmatic,Choleric,🔨
television,Television,1955,,5,1.60,Universal,appeal,-,Phlegmatic,,📺
jogging,Jogging,1970,,12,1.00,Urban,strength,-,Sanguine,Choleric,🏃
role_playing_games,Role-playing Games,1975,,10,0.70,Urban,intellect,appeal,Melancholic,Phlegmatic,🐉
fitness_training,Fitness Training,1980,,14,1.10,Urban,strength,-,Choleric,Sanguine,🏋️
computer_tinkering,Computer Tinkering,1980,,11,0.60,Urban,intellect,-,Melancholic,Phlegmatic,💻
video_games,Video Games,1980,,7,1.30,Urban,intellect,-,Phlegmatic,Choleric,🎮
programming,Programming,1980,,12,0.70,Urban,intellect,-,Melancholic,Choleric,👨‍💻
internet_browsing,Internet Browsing,1995,,8,1.50,Urban,intellect,-,Phlegmatic,Melancholic,🌐
blogging,Blogging,2000,,12,0.60,Urban,intellect,appeal,Melancholic,Sanguine,✍️
social_media,Social Media,2005,,12,1.60,Universal,appeal,-,Sanguine,Phlegmatic,📱
podcasts,Podcasts,2005,,12,1.10,Universal,intellect,-,Melancholic,Phlegmatic,🎧
religious_devotion,Religious Devotion,1700,,7,1.20,Universal,intellect,-,Melancholic,Phlegmatic,🙏
community_and_charity,Community & Charity,1700,,12,0.80,Universal,appeal,intellect,Sanguine,Phlegmatic,🤝
family_history,Family History,1700,,14,0.60,Universal,intellect,-,Melancholic,Phlegmatic,🌳
language_learning,Language Learning,1700,,10,0.70,Urban,intellect,appeal,Melancholic,Sanguine,🗣️
animal_keeping,Animal Keeping,1700,,7,1.00,Rural,strength,-,Phlegmatic,Sanguine,🐾
travel_and_sightseeing,Travel & Sightseeing,1800,,16,0.65,Urban,appeal,intellect,Sanguine,Choleric,🧳
hiking,Hiking,1850,,10,1.00,Rural,strength,-,Phlegmatic,Sanguine,🥾
birdwatching,Birdwatching,1850,,10,0.60,Rural,intellect,-,Melancholic,Phlegmatic,🐦
