ItemId,StartYear,EndYear,Dimension,Value,WeightMultiplier
reading,1700,,AgeBand,Child,1.10
reading,1700,,AgeBand,Adolescent,1.10
reading,1700,,AgeBand,YoungAdult,1.00
reading,1700,,AgeBand,Adult,1.00
reading,1700,,AgeBand,OlderAdult,1.00
reading,1700,,AgeBand,Elderly,0.90
storytelling,1700,,AgeBand,Child,1.10
storytelling,1700,,AgeBand,Adolescent,1.10
storytelling,1700,,AgeBand,YoungAdult,1.00
storytelling,1700,,AgeBand,Adult,1.00
storytelling,1700,,AgeBand,OlderAdult,1.00
storytelling,1700,,AgeBand,Elderly,0.90
singing,1700,,AgeBand,Child,1.10
singing,1700,,AgeBand,Adolescent,1.10
singing,1700,,AgeBand,YoungAdult,1.00
singing,1700,,AgeBand,Adult,1.00
singing,1700,,AgeBand,OlderAdult,1.00
singing,1700,,AgeBand,Elderly,0.90
dancing,1700,,AgeBand,Child,1.10
dancing,1700,,AgeBand,Adolescent,1.35
dancing,1700,,AgeBand,YoungAdult,1.30
dancing,1700,,AgeBand,Adult,0.95
dancing,1700,,AgeBand,OlderAdult,0.55
dancing,1700,,AgeBand,Elderly,0.25
playing_music,1700,,AgeBand,Child,1.10
playing_music,1700,,AgeBand,Adolescent,1.10
playing_music,1700,,AgeBand,YoungAdult,1.00
playing_music,1700,,AgeBand,Adult,1.00
playing_music,1700,,AgeBand,OlderAdult,1.00
playing_music,1700,,AgeBand,Elderly,0.90
drawing_and_painting,1700,,AgeBand,Child,1.10
drawing_and_painting,1700,,AgeBand,Adolescent,1.10
drawing_and_painting,1700,,AgeBand,YoungAdult,1.00
drawing_and_painting,1700,,AgeBand,Adult,1.00
drawing_and_painting,1700,,AgeBand,OlderAdult,1.00
drawing_and_painting,1700,,AgeBand,Elderly,0.90
poetry_and_writing,1700,,AgeBand,Child,0.75
poetry_and_writing,1700,,AgeBand,Adolescent,0.90
poetry_and_writing,1700,,AgeBand,YoungAdult,1.00
poetry_and_writing,1700,,AgeBand,Adult,1.15
poetry_and_writing,1700,,AgeBand,OlderAdult,1.25
poetry_and_writing,1700,,AgeBand,Elderly,1.15
chess,1700,,AgeBand,Child,0.75
chess,1700,,AgeBand,Adolescent,0.90
chess,1700,,AgeBand,YoungAdult,1.00
chess,1700,,AgeBand,Adult,1.15
chess,1700,,AgeBand,OlderAdult,1.25
chess,1700,,AgeBand,Elderly,1.15
card_games,1700,,AgeBand,Child,0.60
card_games,1700,,AgeBand,Adolescent,0.85
card_games,1700,,AgeBand,YoungAdult,1.25
card_games,1700,,AgeBand,Adult,1.20
card_games,1700,,AgeBand,OlderAdult,1.00
card_games,1700,,AgeBand,Elderly,0.75
board_games,1700,,AgeBand,Child,1.10
board_games,1700,,AgeBand,Adolescent,1.10
board_games,1700,,AgeBand,YoungAdult,1.00
board_games,1700,,AgeBand,Adult,1.00
board_games,1700,,AgeBand,OlderAdult,1.00
board_games,1700,,AgeBand,Elderly,0.90
gardening,1700,,AgeBand,Child,1.00
gardening,1700,,AgeBand,Adolescent,1.20
gardening,1700,,AgeBand,YoungAdult,1.20
gardening,1700,,AgeBand,Adult,1.05
gardening,1700,,AgeBand,OlderAdult,0.80
gardening,1700,,AgeBand,Elderly,0.55
fishing,1700,,AgeBand,Child,1.00
fishing,1700,,AgeBand,Adolescent,1.20
fishing,1700,,AgeBand,YoungAdult,1.20
fishing,1700,,AgeBand,Adult,1.05
fishing,1700,,AgeBand,OlderAdult,0.80
fishing,1700,,AgeBand,Elderly,0.55
hunting,1700,,AgeBand,Adolescent,1.20
hunting,1700,,AgeBand,YoungAdult,1.20
hunting,1700,,AgeBand,Adult,1.05
hunting,1700,,AgeBand,OlderAdult,0.80
hunting,1700,,AgeBand,Elderly,0.55
target_shooting,1700,,AgeBand,Adolescent,1.20
target_shooting,1700,,AgeBand,YoungAdult,1.20
target_shooting,1700,,AgeBand,Adult,1.05
target_shooting,1700,,AgeBand,OlderAdult,0.80
target_shooting,1700,,AgeBand,Elderly,0.55
horse_riding,1700,,AgeBand,Child,1.10
horse_riding,1700,,AgeBand,Adolescent,1.35
horse_riding,1700,,AgeBand,YoungAdult,1.30
horse_riding,1700,,AgeBand,Adult,0.95
horse_riding,1700,,AgeBand,OlderAdult,0.55
