StartYear,EndYear,Dimension,Value,WeightMultiplier
1700,,AgeBand,YoungAdult,1.2
1700,,AgeBand,Adult,1.0
1700,,AgeBand,OlderAdult,0.7
1700,,AgeBand,Elderly,0.4
1700,1849,Sex,Male,1.2
1700,1849,Sex,Female,0.75
1850,1945,Sex,Male,1.18
1850,1945,Sex,Female,0.78
1946,1989,Sex,Male,1.12
1946,1989,Sex,Female,0.85
1990,,Sex,Male,1.08
1990,,Sex,Female,0.92
1700,,Temperament,Melancholic,1.0
1700,,Temperament,Phlegmatic,1.0
1700,,Temperament,Sanguine,0.75
1700,,Temperament,Choleric,1.35
1700,,Morals,Good,0.5
1700,,Morals,Neutral,1.0
1700,,Morals,Evil,1.65
