ItemId,StartYear,EndYear,Dimension,Value,WeightMultiplier
smuggling,1700,1799,All,,1.6
smuggling,1800,1849,All,,1.4
smuggling,1850,1913,All,,1.2
smuggling,1914,1945,All,,1.1
smuggling,1946,1989,All,,0.9
smuggling,1990,,All,,0.8
fraud,1700,1799,All,,0.55
fraud,1800,1849,All,,0.7
fraud,1850,1945,All,,1.0
fraud,1946,1989,All,,1.2
fraud,1990,,All,,1.4
embezzlement,1700,1799,All,,0.5
embezzlement,1800,1849,All,,0.7
embezzlement,1850,1945,All,,1.0
embezzlement,1946,1989,All,,1.2
embezzlement,1990,,All,,1.3
pickpocketing,1700,1849,All,,1.2
pickpocketing,1850,1945,All,,1.4
pickpocketing,1946,1989,All,,0.9
pickpocketing,1990,,All,,0.6
poaching,1700,1799,All,,1.6
poaching,1800,1849,All,,1.4
poaching,1850,1913,All,,1.2
poaching,1914,1945,All,,0.9
poaching,1946,,All,,0.5
counterfeiting,1700,1849,All,,1.2
counterfeiting,1850,1945,All,,1.0
counterfeiting,1946,1989,All,,0.85
counterfeiting,1990,,All,,0.75
tax_evasion,1700,1849,All,,0.5
tax_evasion,1850,1913,All,,0.7
tax_evasion,1914,1945,All,,0.9
tax_evasion,1946,1989,All,,1.2
tax_evasion,1990,,All,,1.4
transport_theft,1700,1849,All,,1.2
transport_theft,1850,1899,All,,1.0
transport_theft,1900,1945,All,,0.8
transport_theft,1946,1989,All,,1.4
transport_theft,1990,,All,,1.2
narcotics_trade,1800,1849,All,,0.4
narcotics_trade,1850,1913,All,,0.7
narcotics_trade,1914,1945,All,,1.0
narcotics_trade,1946,1989,All,,1.4
narcotics_trade,1990,,All,,1.5
cybercrime,1980,1989,All,,0.4
cybercrime,1990,1999,All,,0.8
cybercrime,2000,,All,,1.5
vandalism,1700,,AgeBand,YoungAdult,1.4
vandalism,1700,,AgeBand,Adult,0.9
vandalism,1700,,AgeBand,OlderAdult,0.55
vandalism,1700,,AgeBand,Elderly,0.3
brawling,1700,,AgeBand,YoungAdult,1.5
brawling,1700,,AgeBand,Adult,0.9
brawling,1700,,AgeBand,OlderAdult,0.5
brawling,1700,,AgeBand,Elderly,0.25
petty_theft,1700,,AgeBand,YoungAdult,1.3
petty_theft,1700,,AgeBand,Adult,1.0
petty_theft,1700,,AgeBand,OlderAdult,0.6
petty_theft,1700,,AgeBand,Elderly,0.4
burglary,1700,,AgeBand,YoungAdult,1.2
burglary,1700,,AgeBand,Adult,1.1
burglary,1700,,AgeBand,OlderAdult,0.6
burglary,1700,,AgeBand,Elderly,0.35
smuggling,1700,,AgeBand,YoungAdult,1.1
smuggling,1700,,AgeBand,Adult,1.2
smuggling,1700,,AgeBand,OlderAdult,0.8
smuggling,1700,,AgeBand,Elderly,0.45
fraud,1700,,AgeBand,YoungAdult,0.8
fraud,1700,,AgeBand,Adult,1.3
fraud,1700,,AgeBand,OlderAdult,1.2
