PolicyId,DisplayName,StartYear,EndYear,MinimumSettlementClass,RequiredInstitutionId,RequiredOpportunityTag,RequiredProsperityMax,RequiredRegionIds,Rarity,SelectionWeight,ImpactTier,BaseSupport,DurationYears,EffectKey,Magnitude,Favorability,ProposerArchetypes,Description
school_supplies,School Supplies Fund,1700,,SmallTown,school,,,,Common,100,Weak,0.12,3,education_success_add,0.03,Favorable,teacher;clerk;merchant,A modest grant for teaching materials.
clinic_subsidy,Clinic Subsidy,1800,,SmallTown,medical,,,,Common,100,Weak,0.12,3,medical_cost_multiplier,0.95,Favorable,physician;clerk;merchant,Small subsidy for local treatment.
bank_liaison,Banking Liaison Committee,1800,,SmallTown,bank,,,,Common,100,Weak,0.12,3,bank_quality_multiplier,1.03,Favorable,banker;merchant;clerk,Modest improvement to local financial offers.
housing_permits,Streamline Housing Permits,1750,,SmallTown,,,,,Common,100,Weak,0.12,3,housing_price_multiplier,0.97,Favorable,builder;merchant;clerk,Small reduction in housing-market friction.
market_day,Expand Market Days,1700,,SmallTown,,,,,Common,100,Weak,0.12,2,prosperity_flat,1,Favorable,merchant;shopkeeper;farmer,A small boost to local commerce.
road_repairs,Repair Local Roads,1700,,SmallTown,,,,,Common,100,Weak,0.12,2,prosperity_flat,1,Favorable,merchant;farmer;clerk,Basic infrastructure work.
farm_extension,Agricultural Extension Advice,1750,,SmallTown,,agriculture,,,Common,100,Weak,0.12,3,farming_income_multiplier,1.03,Favorable,farmer;landowner;clerk,A small farming-support programme.
artisan_fair,Artisan Fair,1700,,SmallTown,,,,,Common,100,Weak,0.12,2,craft_income_multiplier,1.03,Favorable,craftsman;merchant,A temporary fair for local crafts.
employment_board,Local Employment Board,1850,,SmallTown,,,,,Common,100,Weak,0.12,2,job_application_add,0.02,Favorable,clerk;merchant;teacher,Small assistance matching workers to employers.
poor_relief,Poor Relief Collection,1700,,SmallTown,church,,,,Common,100,Weak,0.12,3,church_welfare_multiplier,1.25,Favorable,priest;merchant;teacher,Improves local emergency welfare.
fire_watch,Organize Fire Watch,1700,,SmallTown,,,,,Common,100,Weak,0.12,4,historical_wealth_loss_multiplier,0.95,Favorable,clerk;craftsman;merchant,Minor preparation against destructive local emergencies.
emergency_stores,Emergency Stores,1800,,SmallTown,,,,,Common,100,Weak,0.12,3,historical_health_loss_multiplier,0.95,Favorable,physician;merchant;clerk,Basic local crisis preparation.
reconstruction_committee,Reconstruction Committee,1800,,SmallTown,,,99,,Common,100,Weak,0.12,3,prosperity_recovery_bonus,1,Favorable,builder;merchant;clerk,Speeds recovery from temporary prosperity shocks.
market_square,Beautify Market Square,1700,,SmallTown,,,,,Common,100,Weak,0.12,2,prosperity_flat,1,Favorable,merchant;craftsman;clerk,A small civic improvement.
town_festival,Town Festival,1700,,SmallTown,,,,,Common,80,Weak,0.12,1,none,0,Neutral,merchant;artist;clerk,Mostly ceremonial community spending.
