HistoricalEventId,RenownDeltaOnDirectHouseholdImpact,ReputationDelta
bar_confederation,1.5,0
coastal_protests_1970,1.0,0
covid_19,1.0,0
eu_labor_migration,1.0,0
first_partition,1.0,0
first_world_war,1.5,0
flood_1997,1.0,0
flood_2010,1.0,0
flood_2024,1.0,0
german_postwar_expulsion,2,0
ghettoization,2,0
great_depression,1.0,0
great_northern_plague,1.0,0
great_northern_war,1.5,0
great_retreat_1915,1.0,0
greater_poland_uprising_1848,1.0,0
greater_poland_uprising_1918,1.0,0
holocaust_mass_murder,3,0
invasion_1939,2,0
january_uprising,2,0
june_protests_1976,1.0,0
kosciuszko_uprising,2,0
krakow_galician_1846,1.0,0
kresy_postwar_resettlement,2,0
march_1968,1.0,0
market_transition,1.0,0
martial_law,1.5,0
napoleonic_wars_1806_1809,1.0,0
november_uprising,2,0
occupation_hardship,1.0,0
operation_vistula,2,0
polish_soviet_war,2,0
polish_ukrainian_war,1.0,0
post_january_repression,1.0,0
post_november_repression,1.0,0
poznan_june_1956,1.0,0
retaliatory_violence_ukrainian,1.0,0
revolution_1905,1.0,0
russian_campaign_1812_1813,1.0,0
second_partition,1.0,0
siege_gdansk_1734,1.0,0
silesian_uprisings,1.0,0
solidarity_strikes_1980,1.0,0
southern_flood_1934,1.0,0
soviet_deportations,2,0
spanish_influenza,1.0,0
territorial_exchange_1951,1.0,0
third_partition,1.0,0
ukraine_refugee_influx,1.0,0
volhynia_anti_polish_violence,2.5,0
war_polish_succession,1.0,0
warsaw_uprising_1944,3,0
