City,Country,YearFrom,YearTo
Alexandropol,Armenia,1840,1923
Dilijan,Armenia,1700,2026
Gyumri,Armenia,1990,2026
Leninakan,Armenia,1924,1989
Meghri,Armenia,1700,2026
Vagharshapat,Armenia,1700,2026
Yerevan,Armenia,1700,2026
Eisenstadt,Austria,1700,2026
Graz,Austria,1700,2026
Innsbruck,Austria,1700,2026
Klagenfurt,Austria,1700,2026
Linz,Austria,1700,2026
Salzburg,Austria,1700,2026
Vienna,Austria,1700,2026
Wiener Neustadt,Austria,1700,2026
Brest,Belarus,1700,2026
Gomel,Belarus,1700,2026
Minsk,Belarus,1700,2026
Mogilev,Belarus,1700,2026
Nesvizh,Belarus,1700,2026
Orsha,Belarus,1700,2026
Pinsk,Belarus,1700,2026
Polotsk,Belarus,1700,2026
Slutsk,Belarus,1700,2026
Vitebsk,Belarus,1700,2026
Burgas,Bulgaria,1700,2026
Plovdiv,Bulgaria,1700,2026
Ruse,Bulgaria,1700,2026
Shumen,Bulgaria,1700,2026
Sliven,Bulgaria,1700,2026
Sofia,Bulgaria,1700,2026
Stara Zagora,Bulgaria,1700,2026
Varna,Bulgaria,1700,2026
Veliko Tarnovo,Bulgaria,1700,2026
Vidin,Bulgaria,1700,2026
Brno,Czechia,1700,2026
Hradec Králové,Czechia,1700,2026
Jihlava,Czechia,1700,2026
Liberec,Czechia,1700,2026
Olomouc,Czechia,1700,2026
Pardubice,Czechia,1700,2026
Plzeň,Czechia,1700,2026
Prague,Czechia,1700,2026
Znojmo,Czechia,1700,2026
České Budějovice,Czechia,1700,2026
Birmingham,England,1700,2026
Bristol,England,1700,2026
Cambridge,England,1700,2026
Canterbury,England,1700,2026
Exeter,England,1700,2026
Liverpool,England,1700,2026
London,England,1700,2026
Manchester,England,1700,2026
Newcastle,England,1700,2026
Norwich,England,1700,2026
Oxford,England,1700,2026
York,England,1700,2026
Haapsalu,Estonia,1700,2026
Kuressaare,Estonia,1700,2026
Narva,Estonia,1700,2026
Pärnu,Estonia,1700,2026
Rakvere,Estonia,1700,2026
Tallinn,Estonia,1700,2026
Tartu,Estonia,1700,2026
Viljandi,Estonia,1700,2026
Bordeaux,France,1700,2026
Dijon,France,1700,2026
Lille,France,1700,2026
Lyon,France,1700,2026
Marseille,France,1700,2026
Montpellier,France,1700,2026
Nantes,France,1700,2026
Nice,France,1700,2026
Paris,France,1700,2026
Rouen,France,1700,2026
Strasbourg,France,1700,2026
Toulouse,France,1700,2026
Akhaltsikhe,Georgia,1700,2026
Batumi,Georgia,1700,2026
Gori,Georgia,1700,2026
Kutaisi,Georgia,1700,2026
Poti,Georgia,1700,2026
Tbilisi,Georgia,1700,2026
Telavi,Georgia,1700,2026
Zugdidi,Georgia,1700,2026
Berlin,Germany,1700,2026
Bremen,Germany,1700,2026
Cologne,Germany,1700,2026
Dresden,Germany,1700,2026
