NationalityId,Country,YearFrom,YearTo,Weight
german,Germany,1700,2026,1.0
russian,Russia,1700,2026,1.0
belarusian,Belarus,1700,2026,1.0
ukrainian,Ukraine,1700,2026,1.0
lithuanian,Lithuania,1700,2026,1.0
latvian,Latvia,1700,2026,1.0
czech,Czechia,1700,2026,1.0
slovak,Slovakia,1700,2026,1.0
hungarian,Hungary,1700,2026,1.0
romanian,Romania,1700,2026,1.0
austrian,Austria,1700,2026,1.0
swedish,Sweden,1700,2026,1.0
english,England,1700,2026,1.0
french,France,1700,2026,1.0
italian,Italy,1700,2026,1.0
armenian,Armenia,1700,2026,1.0
tatar,Russia,1700,2026,1.0
greek,Greece,1700,2026,1.0
dutch,Netherlands,1700,2026,1.0
georgian,Georgia,1700,2026,1.0
estonian,Estonia,1700,2026,1.0
serbian,Serbia,1700,2026,1.0
bulgarian,Bulgaria,1700,2026,1.0
jewish,Germany,1700,1938,0.12
jewish,Austria,1700,1938,0.08
jewish,Czechia,1700,1938,0.08
jewish,Hungary,1700,1944,0.1
jewish,Romania,1700,1944,0.1
jewish,Lithuania,1700,1941,0.1
jewish,Belarus,1700,1941,0.1
jewish,Ukraine,1700,1941,0.1
jewish,Russia,1700,2026,0.07
jewish,Netherlands,1700,1940,0.03
jewish,France,1700,2026,0.04
jewish,England,1700,2026,0.03
jewish,Italy,1700,2026,0.02
jewish,Israel,1948,2026,0.45
