Piotr, 682516
Krzysztof, 631898
Tomasz, 533217
Andrzej, 513749
Paweł, 502076
Michał, 492326
Jan, 462503
Marcin, 447274
Jakub, 433692
Adam, 400572
Łukasz, 382274
Mateusz, 377592
Grzegorz, 369675
Marek, 369240
Stanisław, 348827
Wojciech, 335544
Mariusz, 283705
Dariusz, 279482
Maciej, 267055
Rafał, 260326
Robert, 256984
Kamil, 251233
Zbigniew, 249852
Szymon, 244928
Dawid, 239942
Kacper, 232125
Jacek, 227193
Jerzy, 222479
Bartosz, 205155
Artur, 198335
Ryszard, 189300
Józef, 188007
Jarosław, 187945
Tadeusz, 186094
Sebastian, 186060
Damian, 183835
Sławomir, 180911
Patryk, 180227
Antoni, 176680
Filip, 176647
Roman, 174380
Mirosław, 173239
Janusz, 173146
Daniel, 171875
Karol, 165804
Przemysław, 165034
Aleksander, 162886
Henryk, 150311
Adrian, 149545
Mikołaj, 141540
Franciszek, 140919
Dominik, 136511
Kazimierz, 132529
Arkadiusz, 132300
Wiesław, 130136
Bartłomiej, 126070
Marian, 119087
Wiktor, 117927
Krystian, 111177
Leszek, 108443
Radosław, 103469
Waldemar, 102455
Igor, 96334
Hubert, 90837
Bogdan, 90620
Konrad, 90371
Zdzisław, 85323
Marcel, 82940
Oskar, 80957
Nikodem, 77519
Maksymilian, 75322
Edward, 72934
Mieczysław, 69281
Leon, 68916
Miłosz, 68195
Władysław, 64365
Oliwier, 62181
Czesław, 59053
Ireneusz, 57371
Bogusław, 56772
Maksym, 56024
Eugeniusz, 55466
Witold, 54261
Alan, 53215
Ignacy, 52801
Sylwester, 52342
Stefan, 52091
Cezary, 48176
Gabriel, 47622
Zygmunt, 46240
Julian, 45069
Tymon, 43886
Włodzimierz, 43304
Tymoteusz, 40741
Norbert, 39260
Zenon, 38796
Fabian, 36577
Błażej, 33134
Bohdan, 31873
Eryk, 30264
Emil, 29681
Natan, 24924
Ksawery, 23269
Borys, 21899
Lech, 21602
Olaf, 19961
Wacław, 19710
Bronisław, 19427
Remigiusz, 19397
Kajetan, 19037
Bruno, 18543
Kuba, 17658
Bernard, 16769
Bolesław, 16700
Tobiasz, 15640
Albert, 15344
Gracjan, 14460
Lucjan, 14298
Seweryn, 13918
Edmund, 13594
Kornel, 13263
Romuald, 12920
Szczepan, 12675
Ernest, 11465
Joachim, 10818
Jędrzej, 10349
Alfred, 10323
Teodor, 10273
Leonard, 10239
Ludwik, 9968
Feliks, 9930
Milan, 9825
Lesław, 9782
Bogumił, 9688
Gerard, 9185
Juliusz, 9074
Aleks, 8846
Dorian, 8215
Nataniel, 7858
Klaudiusz, 7668
Mieszko, 7552
Gustaw, 7470
Samuel, 7432
Konstanty, 7385
Cyprian, 6675
Alojzy, 6399
Florian, 6300
Brajan, 6153
Benedykt, 5933
Rajmund, 5778
Iwo, 5508
Beniamin, 5186
Kordian, 5068
Jeremi, 5019
Marceli, 4979
Fryderyk, 4722
Rudolf, 4691
Aleksy, 4655
Wincenty, 4435
Hieronim, 4328
Erwin, 4303
Roland, 4195
Sergiusz, 4112
Amadeusz, 3885
Olgierd, 3873
Zygfryd, 3743
Maurycy, 3558
Emilian, 3416
Oliwer, 3301
Brunon, 3020
Walenty, 2985
Hugo, 2926
Arnold, 2919
Jeremiasz, 2916
Augustyn, 2864
Leopold, 2795
Oktawian, 2737
Emanuel, 2519
Herbert, 2503
Anatol, 2482
Miron, 2459
Korneliusz, 2426
Jonasz, 2421
Aron, 2379
Wilhelm, 2358
Jonatan, 2333
Edwin, 2321
Albin, 2318
Kasper, 2264
Ziemowit, 2130
Tytus, 2101
Kryspin, 2086
Alfons, 1920
Ginter, 1839
Teofil, 1748
Patrycjusz, 1699
Eliasz, 1623
Lechosław, 1514
Klemens, 1511
Walerian, 1483
Kosma, 1476
Aaron, 1455
Roch, 1397
