EventId,CareerFamily,WeightMultiplier
rare.workplace_accident,extraction,3.0
rare.workplace_accident,heavy_industry,2.6
rare.workplace_accident,construction,2.4
rare.workplace_accident,maritime,2.0
rare.workplace_accident,military,1.8
rare.workplace_accident,manufacturing,1.8
rare.workplace_accident,transport,1.7
rare.workplace_accident,agriculture,1.6
rare.workplace_accident,utilities,1.5
rare.workplace_accident,chemical,1.5
rare.workplace_accident,security,1.4
rare.workplace_accident,engineering,1.2
rare.workplace_accident,healthcare,0.8
rare.workplace_accident,hospitality,0.8
rare.workplace_accident,science_health,0.7
rare.workplace_accident,media_creative,0.7
rare.workplace_accident,public_service,0.6
rare.workplace_accident,technology,0.5
rare.workplace_accident,finance,0.45
rare.workplace_accident,education,0.4
rare.workplace_accident,legal,0.4
rare.water_accident,maritime,2.0
rare.water_accident,transport,1.2
rare.professional_recognition,science_health,1.2
rare.professional_recognition,media_creative,1.2
rare.professional_recognition,education,1.1
rare.professional_recognition,engineering,1.1
rare.professional_recognition,public_service,1.05
rare.patronage,media_creative,1.8
rare.patronage,science_health,1.4
rare.patronage,education,1.2
rare.patronage,religion,1.2
rare.prize_award,media_creative,1.5
rare.prize_award,science_health,1.5
rare.prize_award,technology,1.3
rare.prize_award,engineering,1.2
