ItemId,StartYear,EndYear,Dimension,Value,WeightMultiplier
rare.assault,1700,,AgeBand,Adolescent,1.10
rare.assault,1700,,AgeBand,YoungAdult,1.40
rare.assault,1700,,AgeBand,Adult,1.00
rare.assault,1700,,AgeBand,OlderAdult,0.65
rare.assault,1700,,AgeBand,Elderly,0.35
rare.mugging,1700,,AgeBand,Adolescent,1.10
rare.mugging,1700,,AgeBand,YoungAdult,1.40
rare.mugging,1700,,AgeBand,Adult,1.00
rare.mugging,1700,,AgeBand,OlderAdult,0.65
rare.mugging,1700,,AgeBand,Elderly,0.35
rare.workplace_accident,1700,,AgeBand,YoungAdult,1.10
rare.workplace_accident,1700,,AgeBand,Adult,1.15
rare.workplace_accident,1700,,AgeBand,OlderAdult,0.80
rare.workplace_accident,1700,,AgeBand,Elderly,0.35
rare.traffic_accident,1700,,AgeBand,Child,0.70
rare.traffic_accident,1700,,AgeBand,Adolescent,1.10
rare.traffic_accident,1700,,AgeBand,YoungAdult,1.30
rare.traffic_accident,1700,,AgeBand,Adult,1.00
rare.traffic_accident,1700,,AgeBand,OlderAdult,0.75
rare.traffic_accident,1700,,AgeBand,Elderly,0.55
rare.lightning_strike,1700,,AgeBand,Infant,1.00
rare.lightning_strike,1700,,AgeBand,Child,1.00
rare.lightning_strike,1700,,AgeBand,Adolescent,1.00
rare.lightning_strike,1700,,AgeBand,YoungAdult,1.00
rare.lightning_strike,1700,,AgeBand,Adult,1.00
rare.lightning_strike,1700,,AgeBand,OlderAdult,1.00
rare.lightning_strike,1700,,AgeBand,Elderly,1.00
rare.serious_fall,1700,,AgeBand,Child,0.75
rare.serious_fall,1700,,AgeBand,Adolescent,0.80
rare.serious_fall,1700,,AgeBand,YoungAdult,0.80
rare.serious_fall,1700,,AgeBand,Adult,1.00
rare.serious_fall,1700,,AgeBand,OlderAdult,1.50
rare.serious_fall,1700,,AgeBand,Elderly,2.40
rare.lottery_win,1957,,AgeBand,YoungAdult,1.00
rare.lottery_win,1957,,AgeBand,Adult,1.15
rare.lottery_win,1957,,AgeBand,OlderAdult,1.10
rare.lottery_win,1957,,AgeBand,Elderly,0.85
rare.distant_inheritance,1700,,AgeBand,YoungAdult,1.00
rare.distant_inheritance,1700,,AgeBand,Adult,1.15
rare.distant_inheritance,1700,,AgeBand,OlderAdult,1.10
rare.distant_inheritance,1700,,AgeBand,Elderly,0.85
rare.fraud,1700,,AgeBand,YoungAdult,0.80
rare.fraud,1700,,AgeBand,Adult,1.20
rare.fraud,1700,,AgeBand,OlderAdult,1.40
rare.fraud,1700,,AgeBand,Elderly,1.35
rare.found_property,1700,,AgeBand,YoungAdult,1.00
rare.found_property,1700,,AgeBand,Adult,1.15
rare.found_property,1700,,AgeBand,OlderAdult,1.10
rare.found_property,1700,,AgeBand,Elderly,0.85
rare.wrongful_arrest,1700,,AgeBand,YoungAdult,1.15
rare.wrongful_arrest,1700,,AgeBand,Adult,1.00
rare.wrongful_arrest,1700,,AgeBand,OlderAdult,0.70
rare.wrongful_arrest,1700,,AgeBand,Elderly,0.45
rare.water_accident,1700,,AgeBand,Child,0.85
rare.water_accident,1700,,AgeBand,Adolescent,1.15
rare.water_accident,1700,,AgeBand,YoungAdult,1.25
rare.water_accident,1700,,AgeBand,Adult,1.00
rare.water_accident,1700,,AgeBand,OlderAdult,0.70
