CareerFamily,OpportunityTags
agriculture,agriculture
business_services,finance
chemical,chemicals
commerce,finance
construction,
education,
engineering,manufacturing;technology;electric_power
extraction,coal;oil
finance,finance
food,food;agriculture
forestry_wood,forestry
healthcare,
heavy_industry,steel;heavy_industry
hospitality,tourism
legal,
manufacturing,manufacturing;automotive;technology
maritime,port;shipping;shipbuilding
media_creative,media
media_print,media
military,
personal_services,
property,finance
public_service,
religion,
science_health,chemicals;technology
security,
skilled_trades,manufacturing;steel;forestry;textiles;food
technology,technology
textiles_apparel,textiles
transport,port;shipping;aviation;automotive
utilities,electric_power
