HistoricalEventId,ProsperityDelta,RecoveryYears
great_northern_war,-6,5
war_polish_succession,-4,3
bar_confederation,-5,4
napoleonic_wars_1806_1809,-6,4
russian_campaign_1812_1813,-8,5
november_uprising,-5,4
january_uprising,-4,3
revolution_1905,-3,2
first_world_war,-8,5
great_depression,-12,6
southern_flood_1934,-8,4
invasion_1939,-15,8
warsaw_uprising_1944,-25,12
poznan_june_1956,-3,2
coastal_protests_1970,-3,2
martial_law,-5,4
market_transition,-8,5
flood_1997,-10,5
flood_2010,-8,4
covid_19,-6,3
flood_2024,-9,4
