RuleId,InstitutionId,Tier,StartYear,EndYear,MinPopulation,RequiredAnyOpportunityTags
school_1_1700_1849_1000_any,school,1,1700,1849,1000,
school_2_1700_1849_5000_any,school,2,1700,1849,5000,
school_3_1700_1849_20000_any,school,3,1700,1849,20000,
school_4_1700_1849_60000_any,school,4,1700,1849,60000,
school_1_1850_1945_500_any,school,1,1850,1945,500,
school_2_1850_1945_3000_any,school,2,1850,1945,3000,
school_3_1850_1945_10000_any,school,3,1850,1945,10000,
school_4_1850_1945_40000_any,school,4,1850,1945,40000,
school_1_1946_1989_0_any,school,1,1946,1989,0,
school_2_1946_1989_2000_any,school,2,1946,1989,2000,
school_3_1946_1989_5000_any,school,3,1946,1989,5000,
school_4_1946_1989_20000_any,school,4,1946,1989,20000,
school_5_1946_1989_100000_any,school,5,1946,1989,100000,
school_1_1990_open_0_any,school,1,1990,,0,
school_2_1990_open_1000_any,school,2,1990,,1000,
school_3_1990_open_4000_any,school,3,1990,,4000,
school_4_1990_open_15000_any,school,4,1990,,15000,
school_5_1990_open_80000_any,school,5,1990,,80000,
bank_1_1700_1799_5000_any,bank,1,1700,1799,5000,
bank_2_1700_1799_20000_any,bank,2,1700,1799,20000,
bank_3_1700_1799_75000_any,bank,3,1700,1799,75000,
bank_1_1800_1849_3000_any,bank,1,1800,1849,3000,
bank_2_1800_1849_12000_any,bank,2,1800,1849,12000,
bank_3_1800_1849_40000_any,bank,3,1800,1849,40000,
bank_4_1800_1849_100000_any,bank,4,1800,1849,100000,
bank_1_1850_1945_2000_any,bank,1,1850,1945,2000,
bank_2_1850_1945_8000_any,bank,2,1850,1945,8000,
bank_3_1850_1945_25000_any,bank,3,1850,1945,25000,
bank_4_1850_1945_60000_any,bank,4,1850,1945,60000,
bank_5_1850_1945_150000_any,bank,5,1850,1945,150000,
bank_4_1850_1945_40000_finance,bank,4,1850,1945,40000,finance
bank_5_1850_1945_90000_finance,bank,5,1850,1945,90000,finance
bank_1_1946_1989_1000_any,bank,1,1946,1989,1000,
bank_2_1946_1989_5000_any,bank,2,1946,1989,5000,
bank_3_1946_1989_15000_any,bank,3,1946,1989,15000,
bank_4_1946_1989_50000_any,bank,4,1946,1989,50000,
bank_5_1946_1989_120000_any,bank,5,1946,1989,120000,
bank_4_1946_1989_30000_finance,bank,4,1946,1989,30000,finance
bank_5_1946_1989_70000_finance,bank,5,1946,1989,70000,finance
bank_1_1990_open_1000_any,bank,1,1990,,1000,
bank_2_1990_open_4000_any,bank,2,1990,,4000,
bank_3_1990_open_12000_any,bank,3,1990,,12000,
bank_4_1990_open_40000_any,bank,4,1990,,40000,
bank_5_1990_open_100000_any,bank,5,1990,,100000,
bank_4_1990_open_25000_finance,bank,4,1990,,25000,finance
bank_5_1990_open_60000_finance,bank,5,1990,,60000,finance
medical_1_1700_1849_2000_any,medical,1,1700,1849,2000,
medical_2_1700_1849_15000_any,medical,2,1700,1849,15000,
medical_3_1700_1849_60000_any,medical,3,1700,1849,60000,
medical_1_1850_1945_1000_any,medical,1,1850,1945,1000,
medical_2_1850_1945_5000_any,medical,2,1850,1945,5000,
medical_3_1850_1945_20000_any,medical,3,1850,1945,20000,
medical_4_1850_1945_80000_any,medical,4,1850,1945,80000,
medical_1_1946_1989_0_any,medical,1,1946,1989,0,
medical_2_1946_1989_3000_any,medical,2,1946,1989,3000,
medical_3_1946_1989_10000_any,medical,3,1946,1989,10000,
medical_4_1946_1989_40000_any,medical,4,1946,1989,40000,
medical_5_1946_1989_120000_any,medical,5,1946,1989,120000,
medical_1_1990_open_0_any,medical,1,1990,,0,
medical_2_1990_open_2000_any,medical,2,1990,,2000,
medical_3_1990_open_7000_any,medical,3,1990,,7000,
medical_4_1990_open_30000_any,medical,4,1990,,30000,
medical_5_1990_open_80000_any,medical,5,1990,,80000,
court_1_1700_1799_5000_any,court,1,1700,1799,5000,
court_2_1700_1799_20000_any,court,2,1700,1799,20000,
court_3_1700_1799_100000_any,court,3,1700,1799,100000,
court_1_1800_1945_3000_any,court,1,1800,1945,3000,
court_2_1800_1945_15000_any,court,2,1800,1945,15000,
court_3_1800_1945_60000_any,court,3,1800,1945,60000,
court_1_1946_open_2000_any,court,1,1946,,2000,
court_2_1946_open_10000_any,court,2,1946,,10000,
court_3_1946_open_50000_any,court,3,1946,,50000,
administration_1_1700_1799_5000_any,administration,1,1700,1799,5000,
administration_2_1700_1799_25000_any,administration,2,1700,1799,25000,
administration_3_1700_1799_100000_any,administration,3,1700,1799,100000,
administration_1_1800_1945_3000_any,administration,1,1800,1945,3000,
administration_2_1800_1945_15000_any,administration,2,1800,1945,15000,
administration_3_1800_1945_60000_any,administration,3,1800,1945,60000,
administration_1_1946_open_1500_any,administration,1,1946,,1500,
administration_2_1946_open_8000_any,administration,2,1946,,8000,
administration_3_1946_open_40000_any,administration,3,1946,,40000,
post_office_1_1700_1799_5000_any,post_office,1,1700,1799,5000,
post_office_2_1700_1799_30000_any,post_office,2,1700,1799,30000,
post_office_1_1800_1849_2000_any,post_office,1,1800,1849,2000,
