Tag,DisplayName,DefaultStartYear,EndYear
agriculture,agriculture,1700,
forestry,forestry,1700,
port,port work,1700,
shipping,shipping,1700,
shipbuilding,shipbuilding,1700,
coal,coal mining,1750,
textiles,textiles,1790,
finance,finance,1800,
media,media and publishing,1800,
steel,steel,1800,
manufacturing,manufacturing,1820,
heavy_industry,heavy industry,1820,
food,food production,1850,
tourism,tourism,1850,
oil,oil and refining,1855,
chemicals,chemicals,1880,
electric_power,electric power,1890,
automotive,automotive manufacturing,1910,
aviation,aviation,1930,
technology,technology,1970,
