RegionId,RegionName,OpportunityTag,StartYear,EndYear
masovia,Masovia,agriculture,1700,
masovia,Masovia,finance,1800,
masovia,Masovia,media,1800,
masovia,Masovia,manufacturing,1820,
masovia,Masovia,food,1850,
masovia,Masovia,technology,1970,
lodz,Łódź Region,agriculture,1700,
lodz,Łódź Region,textiles,1790,
lodz,Łódź Region,manufacturing,1820,
lodz,Łódź Region,food,1850,
greater_poland,Greater Poland,agriculture,1700,
greater_poland,Greater Poland,manufacturing,1820,
greater_poland,Greater Poland,food,1850,
greater_poland,Greater Poland,automotive,1910,
greater_poland,Greater Poland,technology,1970,
kujawy_pomerania,Kuyavia-Pomerania,agriculture,1700,
kujawy_pomerania,Kuyavia-Pomerania,manufacturing,1820,
kujawy_pomerania,Kuyavia-Pomerania,food,1850,
kujawy_pomerania,Kuyavia-Pomerania,chemicals,1880,
pomerania,Pomerania,forestry,1700,
pomerania,Pomerania,port,1700,
pomerania,Pomerania,shipbuilding,1700,
pomerania,Pomerania,shipping,1700,
pomerania,Pomerania,manufacturing,1820,
pomerania,Pomerania,tourism,1850,
pomerania,Pomerania,technology,1970,
west_pomerania,West Pomerania,forestry,1700,
west_pomerania,West Pomerania,port,1700,
west_pomerania,West Pomerania,shipbuilding,1700,
west_pomerania,West Pomerania,shipping,1700,
west_pomerania,West Pomerania,tourism,1850,
warmia_masuria,Warmia-Masuria,agriculture,1700,
warmia_masuria,Warmia-Masuria,forestry,1700,
warmia_masuria,Warmia-Masuria,food,1850,
warmia_masuria,Warmia-Masuria,tourism,1850,
podlasie,Podlasie,agriculture,1700,
podlasie,Podlasie,forestry,1700,
podlasie,Podlasie,food,1850,
lublin,Lublin Region,agriculture,1700,
lublin,Lublin Region,manufacturing,1820,
lublin,Lublin Region,food,1850,
lublin,Lublin Region,chemicals,1880,
subcarpathia,Subcarpathia,agriculture,1700,
subcarpathia,Subcarpathia,forestry,1700,
subcarpathia,Subcarpathia,manufacturing,1820,
subcarpathia,Subcarpathia,oil,1855,
subcarpathia,Subcarpathia,chemicals,1880,
subcarpathia,Subcarpathia,aviation,1930,
lesser_poland,Lesser Poland,agriculture,1700,
lesser_poland,Lesser Poland,forestry,1700,
lesser_poland,Lesser Poland,manufacturing,1820,
lesser_poland,Lesser Poland,tourism,1850,
lesser_poland,Lesser Poland,chemicals,1880,
lesser_poland,Lesser Poland,technology,1970,
silesia,Silesia,agriculture,1700,
silesia,Silesia,coal,1750,
silesia,Silesia,steel,1800,
silesia,Silesia,heavy_industry,1820,
silesia,Silesia,manufacturing,1820,
silesia,Silesia,automotive,1910,
opole,Opole Region,agriculture,1700,
opole,Opole Region,manufacturing,1820,
opole,Opole Region,chemicals,1880,
lower_silesia,Lower Silesia,agriculture,1700,
lower_silesia,Lower Silesia,forestry,1700,
lower_silesia,Lower Silesia,coal,1750,
lower_silesia,Lower Silesia,heavy_industry,1820,
lower_silesia,Lower Silesia,manufacturing,1820,
lower_silesia,Lower Silesia,chemicals,1880,
lower_silesia,Lower Silesia,technology,1970,
lubusz,Lubusz,agriculture,1700,
lubusz,Lubusz,forestry,1700,
lubusz,Lubusz,manufacturing,1820,
swietokrzyskie,Świętokrzyskie,agriculture,1700,
swietokrzyskie,Świętokrzyskie,steel,1800,
swietokrzyskie,Świętokrzyskie,heavy_industry,1820,
swietokrzyskie,Świętokrzyskie,manufacturing,1820,
novogrudok,Nowogródczyzna,agriculture,1700,
eastern_galicia,Galicja Wschodnia,agriculture,1700,
eastern_galicia,Galicja Wschodnia,oil,1855,
volhynia,Wołyń,agriculture,1700,
volhynia,Wołyń,forestry,1700,
polesie,Polesie,agriculture,1700,
polesie,Polesie,forestry,1700,
vilnius,Wileńszczyzna,agriculture,1700,
grodno,Grodzieńszczyzna,agriculture,1700,
inflanty,Inflanty Polskie,agriculture,1700,
podolia,Podole,agriculture,1700,
lithuania,Litwa i Żmudź,agriculture,1700,
eastern_belarus,Wschodnia Białoruś,agriculture,1700,
right_bank_ukraine,Ukraina Prawobrzeżna,agriculture,1700,
upper_dvina,Pogranicze górnej Dźwiny,agriculture,1700,
upper_dvina,Pogranicze górnej Dźwiny,forestry,1700,
upper_dvina,Pogranicze górnej Dźwiny,food,1850,
