TownId,OpportunityTag,StartYear,EndYear
p_05970e6c570c94df,food,1850,
p_05970e6c570c94df,forestry,1700,
p_1175c98fc14211c2,port,1700,
p_1175c98fc14211c2,shipbuilding,1700,
p_1175c98fc14211c2,shipping,1700,
p_133a0dacaf05301b,manufacturing,1820,
p_133a0dacaf05301b,technology,1970,
p_1d71ec98b17360ee,chemicals,1940,
p_239b2eb8f2d90edf,port,1700,
p_239b2eb8f2d90edf,shipbuilding,1700,
p_239b2eb8f2d90edf,shipping,1700,
p_23c732bb82aad841,automotive,1910,
p_23c732bb82aad841,manufacturing,1820,
p_23c732bb82aad841,textiles,1790,
p_299a7bb4843a4ea2,coal,1963,
p_2aca337eaebcfa65,tourism,1959,
p_2b71aaa2ce2cb797,manufacturing,1820,
p_2b71aaa2ce2cb797,steel,1800,
p_2c49bfa8c0607b9f,tourism,1933,
p_375e862e1904fc55,chemicals,1960,
p_39338ef213f804ee,automotive,1951,
p_39338ef213f804ee,manufacturing,1951,
p_39338ef213f804ee,textiles,1951,
p_398887c4906944f4,chemicals,1880,
p_3a32b43cdcc54559,coal,1947,
p_3a32b43cdcc54559,heavy_industry,1947,
p_3a32b43cdcc54559,steel,1947,
p_3f156d06269cfbfd,forestry,1700,
p_3f156d06269cfbfd,manufacturing,1820,
p_451d0b01689f8bd8,forestry,1700,
p_451d0b01689f8bd8,tourism,1850,
p_48c20868b7c272cb,coal,1879,
p_48c20868b7c272cb,electric_power,1890,
p_4a19b181023e9e35,heavy_industry,1916,
p_4a19b181023e9e35,steel,1916,
p_4b1caa454d684534,coal,1750,
p_4d94c113bbccb339,coal,1750,
p_4d94c113bbccb339,heavy_industry,1820,
p_4d94c113bbccb339,steel,1800,
p_4e7b46f3e644a731,automotive,1910,
p_4e7b46f3e644a731,manufacturing,1820,
p_4e7b46f3e644a731,textiles,1790,
p_507060f2908c5da3,heavy_industry,1820,
p_5495abd586a9a16e,forestry,1700,
p_5495abd586a9a16e,manufacturing,1820,
p_62f0afd8a77f889e,coal,1947,
p_62f0afd8a77f889e,heavy_industry,1947,
p_62f0afd8a77f889e,steel,1947,
p_649ca81bd8611490,coal,1750,
p_69410c3c5c7478ef,heavy_industry,1820,
p_6a11c252979cb068,chemicals,1880,
p_6a11c252979cb068,manufacturing,1820,
p_6e67c46536bec14d,chemicals,1880,
p_7375c086c86cfe5b,chemicals,1960,
p_7375c086c86cfe5b,oil,1960,
p_787c3103d049e792,port,1700,
p_787c3103d049e792,shipbuilding,1700,
p_7fcc155579827e50,food,1850,
p_7fcc155579827e50,manufacturing,1820,
p_834e3f88249848a4,oil,1951,
p_853c3f1e44364c65,coal,1959,
p_853c3f1e44364c65,heavy_industry,1959,
p_853c3f1e44364c65,steel,1959,
p_862f47a72449bfab,automotive,1910,
p_862f47a72449bfab,heavy_industry,1820,
p_862f47a72449bfab,manufacturing,1820,
p_86450ff73a059225,coal,1940,
p_86450ff73a059225,electric_power,1950,
p_8675f113fb970109,coal,1962,
p_8ac3e06f2dbf0cdd,tourism,1959,
p_8bc1b983a60a70e0,heavy_industry,1820,
p_8bc1b983a60a70e0,steel,1800,
p_90235a304df8c487,aviation,1930,
p_90235a304df8c487,manufacturing,1820,
p_97ae6d1e6d73d7a2,automotive,1970,
p_97ae6d1e6d73d7a2,manufacturing,1951,
