TownId,Town,County,Longitude,Latitude,Population,RegionId
town_warszawa_warszawa,Warszawa,Warszawa,21.03,52.20,1794166,masovia
town_krakow_krakow,Kraków,Kraków,19.95,50.05,779966,lesser_poland
town_lodz_lodz,Łódź,Łódź,19.47,51.78,672185,lodz
town_wroclaw_wroclaw,Wrocław,Wrocław,17.03,51.12,641928,lower_silesia
town_poznan_poznan,Poznań,Poznań,16.92,52.42,532048,greater_poland
town_gdansk_gdansk,Gdańsk,Gdańsk,18.63,54.37,470805,pomerania
town_szczecin_szczecin,Szczecin,Szczecin,14.57,53.43,398255,west_pomerania
town_bydgoszcz_bydgoszcz,Bydgoszcz,Bydgoszcz,18.00,53.12,344091,kujawy_pomerania
town_lublin_lublin,Lublin,Lublin,22.57,51.23,338586,lublin
town_bialystok_bialystok,Białystok,Białystok,23.17,53.13,296958,podlasie
town_katowice_katowice,Katowice,Katowice,19.00,50.25,290553,silesia
town_gdynia_gdynia,Gdynia,Gdynia,18.53,54.53,244969,pomerania
town_czestochowa_czestochowa,Częstochowa,Częstochowa,19.12,50.80,217530,silesia
town_radom_radom,Radom,Radom,21.17,51.40,209296,swietokrzyskie
town_torun_torun,Toruń,Toruń,18.62,53.03,198613,kujawy_pomerania
town_rzeszow_rzeszow,Rzeszów,Rzeszów,22.02,50.05,197863,subcarpathia
town_sosnowiec_sosnowiec,Sosnowiec,Sosnowiec,19.13,50.28,197586,silesia
town_kielce_kielce,Kielce,Kielce,20.62,50.88,193415,swietokrzyskie
town_gliwice_gliwice,Gliwice,Gliwice,18.67,50.28,177049,silesia
town_olsztyn_olsztyn,Olsztyn,Olsztyn,20.50,53.78,171249,warmia_masuria
town_zabrze_zabrze,Zabrze,Zabrze,18.78,50.30,170924,silesia
town_bielsko_biala_bielsko_biala,Bielsko-Biała,Bielsko-Biała,19.07,49.83,169756,silesia
town_bytom_bytom,Bytom,Bytom,18.92,50.35,163255,silesia
town_zielona_gora_zielona_gora,Zielona Góra,Zielona Góra,15.50,51.93,140892,lubusz
town_rybnik_rybnik,Rybnik,Rybnik,18.55,50.08,137128,silesia
town_ruda_slaska_ruda_slaska,Ruda Śląska,Ruda Śląska,18.87,50.27,136423,silesia
town_opole_opole,Opole,Opole,17.93,50.67,127839,opole
town_tychy_tychy,Tychy,Tychy,18.98,50.13,126871,silesia
town_gorzow_wielkopolski_gorzow_wielkopolski,Gorzów Wielkopolski,Gorzów Wielkopolski,15.23,52.73,122589,lubusz
town_elblag_elblag,Elbląg,Elbląg,19.40,54.17,118582,pomerania
town_dabrowa_gornicza_dabrowa_gornicza,Dąbrowa Górnicza,Dąbrowa Górnicza,19.27,50.32,118285,silesia
town_plock_plock,Płock,Płock,19.70,52.55,118268,lodz
town_walbrzych_walbrzych,Wałbrzych,Wałbrzych,16.28,50.78,109971,lower_silesia
town_wloclawek_wloclawek,Włocławek,Włocławek,19.05,52.65,108561,kujawy_pomerania
town_tarnow_tarnow,Tarnów,Tarnów,21.00,50.03,107498,subcarpathia
town_chorzow_chorzow,Chorzów,Chorzów,18.95,50.30,106846,silesia
town_koszalin_koszalin,Koszalin,Koszalin,16.18,54.18,106235,west_pomerania
town_kalisz_kalisz,Kalisz,Kalisz,18.10,51.77,99106,lodz
town_legnica_legnica,Legnica,Legnica,16.17,51.22,98436,lower_silesia
town_grudziadz_grudziadz,Grudziądz,Grudziądz,18.77,53.48,93564,kujawy_pomerania
town_jaworzno_jaworzno,Jaworzno,Jaworzno,19.27,50.22,90368,silesia
town_slupsk_slupsk,Słupsk,Słupsk,17.03,54.47,89780,pomerania
town_jastrzebie_zdroj_jastrzebie_zdroj,Jastrzębie-Zdrój,Jastrzębie-Zdrój,18.58,49.95,88038,silesia
town_nowy_sacz_nowy_sacz,Nowy Sącz,Nowy Sącz,20.70,49.62,83558,lesser_poland
town_jelenia_gora_jelenia_gora,Jelenia Góra,Jelenia Góra,15.73,50.90,78335,lower_silesia
town_siedlce_siedlce,Siedlce,Siedlce,22.28,52.18,77813,masovia
town_myslowice_myslowice,Mysłowice,Mysłowice,19.13,50.23,74559,silesia
town_konin_konin,Konin,Konin,18.27,52.22,72539,kujawy_pomerania
town_pila_pilski,Piła,pilski,16.75,53.17,72527,greater_poland
town_piotrkow_trybunalski_piotrkow_trybunalski,Piotrków Trybunalski,Piotrków Trybunalski,19.68,51.40,72250,lodz
town_lubin_lubinski,Lubin,lubiński,16.20,51.40,71710,lower_silesia
town_inowroclaw_inowroclawski,Inowrocław,inowrocławski,18.25,52.80,71674,kujawy_pomerania
town_ostrow_wielkopolski_ostrowski,Ostrów Wielkopolski,ostrowski,17.82,51.63,71560,lower_silesia
town_suwalki_suwalki,Suwałki,Suwałki,22.93,54.10,69639,podlasie
town_stargard_stargardzki,Stargard,stargardzki,15.03,53.33,67579,west_pomerania
town_gniezno_gnieznienski,Gniezno,gnieźnieński,17.60,52.53,67570,greater_poland
town_ostrowiec_swietokrzyski_ostrowiecki,Ostrowiec Świętokrzyski,ostrowiecki,21.38,50.85,67404,swietokrzyskie
town_siemianowice_slaskie_siemianowice_slaskie,Siemianowice Śląskie,Siemianowice Śląskie,19.03,50.30,66270,silesia
town_glogow_glogowski,Głogów,głogowski,16.08,51.65,66120,lubusz
town_pabianice_pabianicki,Pabianice,pabianicki,19.37,51.67,63945,lodz
town_leszno_leszno,Leszno,Leszno,16.57,51.85,62854,greater_poland
town_zory_zory,Żory,Żory,18.70,50.05,62844,silesia
town_zamosc_zamosc,Zamość,Zamość,23.27,50.72,62785,lublin
town_pruszkow_pruszkowski,Pruszków,pruszkowski,20.80,52.17,62623,masovia
town_lomza_lomza,Łomża,Łomża,22.07,53.18,62573,podlasie
town_elk_elcki,Ełk,ełcki,22.35,53.48,61903,podlasie
town_tarnowskie_gory_tarnogorski,Tarnowskie Góry,tarnogórski,18.87,50.45,61756,silesia
town_tomaszow_mazowiecki_tomaszowski,Tomaszów Mazowiecki,tomaszowski,20.03,51.53,61338,lodz
town_chelm_chelm,Chełm,Chełm,23.48,51.13,61135,lublin
town_mielec_mielecki,Mielec,mielecki,21.43,50.28,60075,subcarpathia
town_kedzierzyn_kozle_kedzierzynsko_kozielski,Kędzierzyn-Koźle,kędzierzyńsko-kozielski,18.20,50.35,60021,opole
town_przemysl_przemysl,Przemyśl,Przemyśl,22.78,49.80,59779,subcarpathia
town_stalowa_wola_stalowowolski,Stalowa Wola,stalowowolski,22.08,50.57,59623,subcarpathia
town_tczew_tczewski,Tczew,tczewski,18.72,54.10,59430,pomerania
town_biala_podlaska_biala_podlaska,Biała Podlaska,Biała Podlaska,23.12,52.03,56942,lublin
town_belchatow_belchatowski,Bełchatów,bełchatowski,19.37,51.37,56419,lodz
town_swidnica_swidnicki,Świdnica,świdnicki,16.48,50.83,56222,lower_silesia
town_bedzin_bedzinski,Będzin,będziński,19.13,50.32,56008,silesia
town_zgierz_zgierski,Zgierz,zgierski,19.42,51.87,55673,lodz
town_piekary_slaskie_piekary_slaskie,Piekary Śląskie,Piekary Śląskie,18.95,50.38,54702,silesia
town_raciborz_raciborski,Racibórz,raciborski,18.23,50.08,54259,silesia
town_legionowo_legionowski,Legionowo,legionowski,20.93,52.42,53529,masovia
town_ostroleka_ostroleka,Ostrołęka,Ostrołęka,21.58,53.08,51656,masovia
town_rumia_wejherowski,Rumia,wejherowski,18.40,54.57,49536,pomerania
town_swietochlowice_swietochlowice,Świętochłowice,Świętochłowice,18.92,50.32,49108,silesia
town_wejherowo_wejherowski,Wejherowo,wejherowski,18.25,54.60,49099,pomerania
town_zawiercie_zawiercianski,Zawiercie,zawierciański,19.42,50.50,48703,silesia
town_piaseczno_piaseczynski,Piaseczno,piaseczyński,21.03,52.07,48670,masovia
town_skierniewice_skierniewice,Skierniewice,Skierniewice,20.13,51.97,47655,lodz
town_starachowice_starachowicki,Starachowice,starachowicki,21.07,51.03,47638,swietokrzyskie
town_wodzislaw_slaski_wodzislawski,Wodzisław Śląski,wodzisławski,18.47,50.02,47576,silesia
town_starogard_gdanski_starogardzki,Starogard Gdański,starogardzki,18.53,53.97,47272,pomerania
town_pulawy_pulawski,Puławy,puławski,21.97,51.42,46965,lublin
town_tarnobrzeg_tarnobrzeg,Tarnobrzeg,Tarnobrzeg,21.68,50.58,46360,subcarpathia
town_kolobrzeg_kolobrzeski,Kołobrzeg,kołobrzeski,15.57,54.17,46198,west_pomerania
town_krosno_krosno,Krosno,Krosno,21.77,49.70,45948,subcarpathia
town_radomsko_radomszczanski,Radomsko,radomszczański,19.45,51.07,45353,lodz
town_debica_debicki,Dębica,dębicki,21.42,50.05,45189,subcarpathia
town_otwock_otwocki,Otwock,otwocki,21.25,52.12,44317,masovia
town_skarzysko_kamienna_skarzyski,Skarżysko-Kamienna,skarżyski,20.85,51.12,44260,swietokrzyskie
town_ciechanow_ciechanowski,Ciechanów,ciechanowski,20.63,52.87,43883,masovia
town_nysa_nyski,Nysa,nyski,17.33,50.47,43356,opole
town_kutno_kutnowski,Kutno,kutnowski,19.37,52.23,43332,lodz
town_sieradz_sieradzki,Sieradz,sieradzki,18.73,51.60,41390,lodz
town_zdunska_wola_zdunskowolski,Zduńska Wola,zduńskowolski,18.93,51.60,41288,lodz
town_mikolow_mikolowski,Mikołów,mikołowski,18.90,50.17,41003,silesia
town_swinoujscie_swinoujscie,Świnoujście,Świnoujście,14.25,53.92,40948,west_pomerania
town_minsk_mazowiecki_minski,Mińsk Mazowiecki,miński,21.55,52.18,40916,masovia
town_szczecinek_szczecinecki,Szczecinek,szczecinecki,16.68,53.72,39827,west_pomerania
town_chojnice_chojnicki,Chojnice,chojnicki,17.55,53.70,39647,pomerania
town_zyrardow_zyrardowski,Żyrardów,żyrardowski,20.43,52.05,39550,masovia
town_swidnik_swidnicki,Świdnik,świdnicki,22.68,51.20,38763,lublin
town_zabki_wolominski,Ząbki,wołomiński,21.12,52.28,38546,masovia
town_boleslawiec_boleslawiecki,Bolesławiec,bolesławiecki,15.57,51.27,38486,lubusz
town_kwidzyn_kwidzynski,Kwidzyn,kwidzyński,18.93,53.73,38329,pomerania
town_nowa_sol_nowosolski,Nowa Sól,nowosolski,15.72,51.80,38191,lubusz
town_malbork_malborski,Malbork,malborski,19.03,54.03,38101,pomerania
town_knurow_gliwicki,Knurów,gliwicki,18.68,50.22,37801,silesia
town_oswiecim_oswiecimski,Oświęcim,oświęcimski,19.13,50.03,37569,silesia
